period,threshold_tau,n_documents,always_low_kl,no_escalate_kl,no_escalate_high_frac,reactive_kl,reactive_high_frac,oracle_kl,oracle_high_frac,reactive_reduction_vs_always_low,reactive_reduction_ci_low,reactive_reduction_ci_high,reactive_vs_oracle_kl_ratio,go_no_go
4,0.07871864549815655,20,55.875194678797925,42.475096674226734,0.25000000000000006,29.605497508860935,0.40312499999999996,23.461824911430085,0.18854166666666666,0.47014954168750545,0.4019307385923618,0.5340156680519493,1.261858257856054,NO-GO
8,0.07871864549815655,20,55.875194678797925,49.299119282282845,0.12500000000000003,39.43786548433309,0.3145833333333333,23.461824911430085,0.18854166666666666,0.2941793632927072,0.19854685752164974,0.40199723737911763,1.6809376778325469,NO-GO
16,0.07871864549815655,20,55.875194678797925,52.39722346184317,0.06250000000000001,41.82472778080228,0.2812499999999999,23.461824911430085,0.18854166666666666,0.2514616186800894,0.1593109333478993,0.3392944062726591,1.7826715500048842,NO-GO
