block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
0,42,r64_a2_hot50_rep0,64,2,hot50,0,0.5,0.0,4;21,32;32,153.72799336910248
0,43,r64_a4_zipf_rep2,64,4,zipf,2,0.46875,0.5284854539152426,5;7;11;31,30;15;11;8,258.87998938560486
0,44,r64_a8_hot50_rep0,64,8,hot50,0,0.453125,0.9921567416492215,0;6;9;14;15;17;21;29,29;5;5;5;5;5;5;5,480.19200563430786
0,45,r256_a16_uniform_rep1,256,16,uniform,1,0.0625,0.0,0;2;5;6;12;13;14;17;18;19;21;22;25;27;28;29,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,898.464024066925
0,46,r128_a8_linear_skew_rep2,128,8,linear_skew,2,0.21875,0.4810876349481454,1;6;10;13;15;16;23;26,28;24;21;18;14;11;8;4,475.5840003490448
0,47,r128_a4_linear_skew_rep1,128,4,linear_skew,1,0.3984375,0.44028133761266786,0;6;19;25,51;38;26;13,261.59998774528503
0,48,r64_a16_zipf_rep1,64,16,zipf,1,0.234375,0.8244316223920575,0;4;5;7;9;12;13;16;17;18;20;21;23;24;27;29,15;8;6;5;4;3;3;3;3;2;2;2;2;2;2;2,909.2159867286682
0,49,r32_a2_zipf_rep0,32,2,zipf,0,0.65625,0.3125,3;27,21;11,153.6639928817749
0,50,r64_a4_linear_skew_rep0,64,4,linear_skew,0,0.390625,0.4192627457812106,5;10;14;24,25;19;13;7,260.99199056625366
0,51,r32_a16_zipf_rep2,32,16,zipf,2,0.1875,0.6123724356957945,1;2;4;5;6;9;14;16;18;19;22;24;26;27;28;30,6;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1,906.65602684021
0,52,r256_a8_zipf_rep0,256,8,zipf,0,0.359375,0.7842131307081003,0;1;5;6;7;11;21;31,92;47;32;24;19;16;14;12,487.744003534317
0,53,r128_a16_uniform_rep2,128,16,uniform,2,0.0625,0.0,1;6;7;9;12;13;15;16;18;19;21;24;25;28;30;31,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,900.5439877510071
0,54,r64_a2_linear_skew_rep2,64,2,linear_skew,2,0.65625,0.3125,4;14,42;22,155.96799552440643
0,55,r64_a1_zipf_rep2,64,1,zipf,2,1.0,0.0,25,64,106.36799782514572
0,56,r256_a2_hot50_rep0,256,2,hot50,0,0.5,0.0,17;23,128;128,153.9199948310852
0,57,r64_a2_linear_skew_rep1,64,2,linear_skew,1,0.65625,0.3125,28;29,42;22,151.90400183200836
0,58,r64_a2_hot50_rep2,64,2,hot50,2,0.5,0.0,4;14,32;32,151.58399939537048
0,59,r32_a16_linear_skew_rep2,32,16,linear_skew,2,0.09375,0.3535533905932738,1;2;4;5;6;9;14;16;18;19;22;24;26;27;28;30,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,912.5760197639465
