model,rank_mode,rank_limit,mean_unique_experts,p50_unique_experts,p95_unique_experts,mean_fraction_of_all_experts,fraction_layers_requiring_all_experts,n_layer_batches
llmjp,top1,1,12.752790178571429,13.0,17.0,0.39852469308035715,0.0,3584
llmjp,full_topk,16,31.904575892857142,32.0,32.0,0.9970179966517857,0.912109375,3584
