rank_mode,cache_scope,capacity,policy,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
full_topk,global,6,oracle_prefetch,6,8371.780288174748,294.57612800598145,6907.977954223752,1169.226205945015,0.8236930019414759,114346,94186,20160,20160,0,1.0,llmjp,16,0,8681.16911585629,3.563907390266574
full_topk,global,12,oracle_prefetch,6,8371.780288174748,294.57612800598145,6907.977954223752,1169.226205945015,0.8236930019414759,114346,94186,20160,20160,0,1.0,llmjp,16,0,8681.16911585629,3.563907390266574
full_topk,global,24,static_frequency_pin,0,8287.238493554294,294.57612800598145,7992.662365548313,0.0,0.9530285274517691,114346,108975,0,0,0,0.0,llmjp,16,0,8681.16911585629,4.537760030299087
full_topk,per_layer,6,static_frequency_pin,0,7105.299938648939,294.57612800598145,6810.723810642958,0.0,0.8120966190334599,114346,92860,0,0,0,0.0,llmjp,16,0,7113.147746615112,0.11032820132137466
full_topk,per_layer,12,static_frequency_pin,0,5528.990697443485,294.57612800598145,5234.414569437504,0.0,0.6241407657460689,114346,71368,0,0,0,0.0,llmjp,16,0,5543.879529379308,0.2685634104586998
full_topk,per_layer,24,static_frequency_pin,0,2378.9392550215125,294.57612800598145,2084.363127015531,0.0,0.24853514770958318,114346,28419,0,0,0,0.0,llmjp,16,0,2407.5434148982167,1.1881056723504035
top1,global,6,oracle_prefetch,6,3338.1273820102215,294.57612800598145,1876.7996079102159,1166.7516460940242,0.5598608497790224,45706,25589,20117,20117,0,1.0,llmjp,1,0,3646.836977556348,8.465132865713809
top1,global,12,oracle_prefetch,6,3338.1273820102215,294.57612800598145,1876.7996079102159,1166.7516460940242,0.5598608497790224,45706,25589,20117,20117,0,1.0,llmjp,1,0,3646.836977556348,8.465132865713809
top1,global,24,static_frequency_pin,0,3334.6849149018526,294.57612800598145,3040.108786895871,0.0,0.906883122565965,45706,41450,0,0,0,0.0,llmjp,1,0,3646.836977556348,8.559528834866104
top1,per_layer,6,static_frequency_pin,0,2519.8330784142017,294.57612800598145,2225.2569504082203,0.0,0.6638078151664989,45706,30340,0,0,0,0.0,llmjp,1,0,2559.3654942438006,1.54461783276012
top1,per_layer,12,reactive_lru,0,1675.643642053008,294.57612800598145,1381.0675140470266,0.0,0.4119809215420295,45706,18830,0,0,0,0.0,llmjp,1,0,1675.643642053008,0.0
top1,per_layer,24,static_frequency_pin,0,567.5624948292971,294.57612800598145,272.9863668233156,0.0,0.08143350982365553,45706,3722,0,0,0,0.0,llmjp,1,0,592.0593907237053,4.137574080948935
