global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,51645,0,0.0,26648820.0,26648820.0,13585764.0,13585764.0,543.43056,0,0.0,0.0,0.0,543.43056,11955.0,26329.0
16,1,0,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,53315,42187,0.7912782518990903,16710668.0,27510540.0,14419104.0,7265440.0,576.76416,1324,33.42015981674194,44248.29159736633,33.42015981674194,324.0377598167419,13382.0,27944.0
17,1,1,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52219,40080,0.7675367203508302,16684524.0,26945004.0,13741080.0,6923800.0,549.6432,1260,33.42015981674194,42109.40136909485,33.42015981674194,310.37215981674194,11394.0,26630.0
18,1,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51437,39463,0.7672103738553959,16438964.0,26541492.0,13520232.0,6812520.0,540.80928,1240,33.42015981674194,41440.99817276001,33.42015981674194,305.92095981674197,14621.0,26202.0
19,1,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50200,37461,0.7462350597609562,16313184.0,25903200.0,12701340.0,6399900.0,508.0536,1180,33.42015981674194,39435.78858375549,33.42015981674194,289.4161598167419,11023.0,24615.0
20,1,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51862,40287,0.7768115383132158,16447320.0,26760792.0,13812804.0,6959940.0,552.51216,1267,33.42015981674194,42343.34248781204,33.42015981674194,311.81775981674195,12428.0,26769.0
21,1,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50333,38214,0.7592235710170266,16189044.0,25971828.0,12999072.0,6549920.0,519.96288,1205,33.42015981674194,40271.29257917404,33.42015981674194,295.41695981674195,10296.0,25192.0
22,1,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52259,40635,0.7775694138808626,16563084.0,26965644.0,13924776.0,7016360.0,556.99104,1279,33.42015981674194,42744.384405612946,33.42015981674194,314.07455981674195,10851.0,26986.0
23,1,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52355,40152,0.7669181549040206,16736268.0,27015180.0,13610532.0,6858020.0,544.42128,1261,33.42015981674194,42142.82152891159,33.42015981674194,307.74095981674196,11072.0,26377.0
24,1,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51572,39354,0.7630884976343753,16536528.0,26611152.0,13491852.0,6798220.0,539.67408,1238,33.42015981674194,41374.157853126526,33.42015981674194,305.34895981674197,10345.0,26147.0
25,1,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51306,39278,0.7655634818539742,16418728.0,26473896.0,13378848.0,6741280.0,535.15392,1237,33.42015981674194,41340.737693309784,33.42015981674194,303.07135981674196,9954.0,25928.0
26,1,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52524,40978,0.7801766811362425,16612016.0,27102384.0,14036232.0,7072520.0,561.44928,1290,33.42015981674194,43112.00616359711,33.42015981674194,316.32095981674195,11962.0,27202.0
27,1,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50845,38456,0.7563378896646671,16391284.0,26236020.0,12965532.0,6533020.0,518.62128,1209,33.42015981674194,40404.97321844101,33.42015981674194,294.74095981674196,10625.0,25127.0
28,1,12,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52289,40061,0.7661458432940007,16725508.0,26981124.0,13766880.0,6936800.0,550.6752,1259,33.42015981674194,42075.98120927811,33.42015981674194,310.8921598167419,10993.0,26680.0
29,1,13,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,53082,41546,0.7826758599902038,16754536.0,27390312.0,14269980.0,7190300.0,570.7992,1305,33.42015981674194,43613.308560848236,33.42015981674194,321.03215981674197,12335.0,27655.0
30,1,14,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,53308,42180,0.7912508441509717,16708848.0,27506928.0,14381952.0,7246720.0,575.27808,1324,33.42015981674194,44248.29159736633,33.42015981674194,323.28895981674196,11065.0,27872.0
31,1,15,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50510,38418,0.7606018610176203,16228152.0,26063160.0,12962952.0,6531720.0,518.51808,1205,33.42015981674194,40271.29257917404,33.42015981674194,294.68895981674194,9985.0,25122.0
32,2,0,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48628,36188,0.744180307641688,15827920.0,25092048.0,12522804.0,6309940.0,500.91216,1140,33.42015981674194,38098.982191085815,33.42015981674194,285.81775981674195,11272.0,24269.0
33,2,1,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47558,33775,0.7101854577568443,15893528.0,24539928.0,11796276.0,5943860.0,471.85104,1065,33.42015981674194,35592.47020483017,33.42015981674194,271.174559816742,9147.0,22861.0
