global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
16,1,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,53315,38691,0.7257057113382726,17605644.0,27510540.0,14419104.0,7265440.0,576.76416,1214,33.42015981674194,40572.07401752472,33.42015981674194,324.0377598167419,13382.0,27944.0
17,1,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52188,37282,0.71437878439488,17384816.0,26929008.0,13741080.0,6923800.0,549.6432,1172,33.42015981674194,39168.42730522156,33.42015981674194,310.37215981674194,11407.0,26630.0
18,1,2,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51434,36755,0.7146051250145818,17130664.0,26539944.0,13520232.0,6812520.0,540.80928,1153,33.42015981674194,38533.44426870346,33.42015981674194,305.92095981674197,14618.0,26202.0
19,1,3,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50229,34869,0.6942005614286567,16991700.0,25918164.0,12701340.0,6399900.0,508.0536,1097,33.42015981674194,36661.91531896591,33.42015981674194,289.4161598167419,11031.0,24615.0
20,1,4,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51907,36938,0.7116188568015874,17327884.0,26784012.0,13812804.0,6959940.0,552.51216,1161,33.42015981674194,38800.805547237396,33.42015981674194,311.81775981674195,12437.0,26769.0
21,1,5,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50306,34770,0.6911700393591221,17056776.0,25957896.0,12999072.0,6549920.0,519.96288,1095,33.42015981674194,36595.07499933243,33.42015981674194,295.41695981674195,10318.0,25192.0
22,1,6,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52259,36885,0.7058114391779406,17523084.0,26965644.0,13924776.0,7016360.0,556.99104,1160,33.42015981674194,38767.385387420654,33.42015981674194,314.07455981674195,10855.0,26986.0
23,1,7,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52350,36951,0.7058452722063038,17553144.0,27012600.0,13610532.0,6858020.0,544.42128,1160,33.42015981674194,38767.385387420654,33.42015981674194,307.74095981674196,11081.0,26377.0
24,1,8,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51549,35845,0.6953578148945664,17422964.0,26599284.0,13491336.0,6797960.0,539.65344,1125,33.42015981674194,37597.679793834686,33.42015981674194,305.33855981674196,10334.0,26146.0
25,1,9,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51320,35677,0.6951870615744349,17347808.0,26481120.0,13378848.0,6741280.0,535.15392,1123,33.42015981674194,37530.8394742012,33.42015981674194,303.07135981674196,9936.0,25928.0
26,1,10,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52490,37563,0.7156220232425223,17468712.0,27084840.0,14036748.0,7072780.0,561.46992,1182,33.42015981674194,39502.62890338898,33.42015981674194,316.33135981674195,11944.0,27203.0
