global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
16,1,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51723,22536,0.4357055855228815,20919852.0,26689068.0,4388580.0,4104780.0,175.5432,710,33.42015981674194,23728.31346988678,33.42015981674194,197.61135981674195,8505.0,7909.0
17,1,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51281,21913,0.427312259901328,20851268.0,26460996.0,4029960.0,4029960.0,161.1984,693,33.42015981674194,23160.170753002167,33.42015981674194,194.61855981674194,7810.0,7393.0
18,1,2,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52160,22965,0.4402799079754601,21035520.0,26914560.0,4732236.0,3747708.0,189.28944,725,33.42015981674194,24229.61586713791,33.42015981674194,183.32847981674195,9171.0,7304.0
19,1,3,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52143,21419,0.41077421705693956,21422524.0,26905788.0,4071756.0,3910248.0,162.87024,675,33.42015981674194,22558.60787630081,33.42015981674194,189.83007981674194,7891.0,7578.0
20,1,4,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51966,22219,0.42756802524727705,21126392.0,26814456.0,4001064.0,3620256.0,160.04256,701,33.42015981674194,23427.532031536102,33.42015981674194,178.23039981674194,7754.0,7428.0
21,1,5,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51744,21551,0.41649273345701915,21182848.0,26699904.0,3787956.0,3787956.0,151.51824,681,33.42015981674194,22759.128835201263,33.42015981674194,184.93839981674193,7058.0,7341.0
22,1,6,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52132,21323,0.40901941226118316,21441424.0,26900112.0,3879288.0,3648120.0,155.17152,672,33.42015981674194,22458.347396850586,33.42015981674194,179.34495981674195,6924.0,7518.0
23,1,7,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51504,21550,0.41841410375893134,21059264.0,26576064.0,3860712.0,3832332.0,154.42848,680,33.42015981674194,22725.70867538452,33.42015981674194,186.71343981674195,7427.0,7482.0
24,1,8,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52250,21413,0.4098181818181818,21479272.0,26961000.0,3787440.0,3762672.0,151.4976,674,33.42015981674194,22525.18771648407,33.42015981674194,183.92703981674194,7292.0,7340.0
25,1,9,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52597,21247,0.4039584006692397,21700820.0,27140052.0,4098588.0,4098588.0,163.94352,670,33.42015981674194,22391.507077217102,33.42015981674194,197.36367981674195,7943.0,7393.0
26,1,10,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50978,21737,0.4263996233669426,20739976.0,26304648.0,3882384.0,3602712.0,155.29536,685,33.42015981674194,22892.80947446823,33.42015981674194,177.52863981674193,7524.0,7472.0
27,1,11,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52046,20587,0.3955539330592168,21585464.0,26855736.0,3916440.0,3916440.0,156.6576,652,33.42015981674194,21789.944200515747,33.42015981674194,190.07775981674195,7590.0,7540.0
28,1,12,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51835,21882,0.42214719783929777,21145068.0,26746860.0,4087236.0,3705396.0,163.48944,690,33.42015981674194,23059.91027355194,33.42015981674194,181.63599981674193,7921.0,7350.0
29,1,13,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51920,21631,0.4166217257318952,21253184.0,26790720.0,3990744.0,3609420.0,159.62976,683,33.42015981674194,22825.969154834747,33.42015981674194,177.79695981674195,7734.0,7642.0
30,1,14,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51231,22348,0.4362202572661084,20714108.0,26435196.0,3985584.0,3514992.0,159.42336,705,33.42015981674194,23561.21267080307,33.42015981674194,174.01983981674195,7041.0,7724.0
31,1,15,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51307,20995,0.40920342253493674,21099692.0,26474412.0,3930372.0,3930372.0,157.21488,664,33.42015981674194,22190.98611831665,33.42015981674194,190.63503981674194,7171.0,7617.0
