phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
prefill,1,model.layers.10.block_sparse_moe,3,4.76028776169,4.76089286804,10,0.0619922125529
prefill,1,model.layers.11.block_sparse_moe,3,4.79340791702,4.80544652939,11,0.0624235292741
prefill,1,model.layers.12.block_sparse_moe,3,4.80895996094,4.81365447044,12,0.0626260602261
prefill,1,model.layers.13.block_sparse_moe,3,4.79478406906,4.79950733185,13,0.0624414506087
prefill,1,model.layers.14.block_sparse_moe,3,4.7659201622,4.78792328835,14,0.0620655621039
prefill,1,model.layers.15.block_sparse_moe,3,4.77343988419,4.8045153141,15,0.06216348984
prefill,4,model.layers.0.block_sparse_moe,3,5.15097618103,5.31070065498,0,0.0640628134606
prefill,4,model.layers.1.block_sparse_moe,3,5.05136013031,5.15861115456,1,0.0628238862649
prefill,4,model.layers.2.block_sparse_moe,3,5.13433599472,6.30943365097,2,0.0638558590671
prefill,4,model.layers.3.block_sparse_moe,3,5.02364778519,5.06033911705,3,0.0624792271685
prefill,4,model.layers.4.block_sparse_moe,3,4.95440006256,5.10732803345,4,0.0616179915927
prefill,4,model.layers.5.block_sparse_moe,3,5.01052808762,5.11697273254,5,0.0623160571773
prefill,4,model.layers.6.block_sparse_moe,3,5.05398416519,5.16486411095,6,0.0628565214492
prefill,4,model.layers.7.block_sparse_moe,3,5.11161613464,9.36194839478,7,0.0635732916261
prefill,4,model.layers.8.block_sparse_moe,3,5.00131177902,5.16480937004,8,0.0622014337278
prefill,4,model.layers.9.block_sparse_moe,3,4.99168014526,5.11549134254,9,0.0620816448693
prefill,4,model.layers.10.block_sparse_moe,3,4.99238395691,5.07639374733,10,0.0620903981915
prefill,4,model.layers.11.block_sparse_moe,3,4.96553611755,5.14835848808,11,0.0617564909739
prefill,4,model.layers.12.block_sparse_moe,3,4.96144008636,5.04760980606,12,0.0617055485364
prefill,4,model.layers.13.block_sparse_moe,3,5.02118396759,5.05139508247,13,0.0624485846103
prefill,4,model.layers.14.block_sparse_moe,3,4.99363183975,5.06157112122,14,0.0621059181401
prefill,4,model.layers.15.block_sparse_moe,3,4.98707199097,5.11157455444,15,0.0620243331445
prefill,8,model.layers.0.block_sparse_moe,3,5.22627210617,5.46407375336,0,0.0647492581811
prefill,8,model.layers.1.block_sparse_moe,3,5.07344007492,5.28316178322,1,0.0628557936908
prefill,8,model.layers.2.block_sparse_moe,3,5.12793588638,5.20828800201,2,0.0635309524453
prefill,8,model.layers.3.block_sparse_moe,3,5.07542419434,5.17803821564,3,0.0628803753156
prefill,8,model.layers.4.block_sparse_moe,3,4.9984960556,5.28185920715,4,0.0619272982819
prefill,8,model.layers.5.block_sparse_moe,3,5.03414392471,5.20717430115,5,0.0623689463695
prefill,8,model.layers.6.block_sparse_moe,3,5.0432639122,5.1753118515,6,0.0624819355925
prefill,8,model.layers.7.block_sparse_moe,3,4.99843215942,5.16483855247,7,0.0619265066603
prefill,8,model.layers.8.block_sparse_moe,3,5.01775979996,5.25734715462,8,0.0621659603974
prefill,8,model.layers.9.block_sparse_moe,3,5.01846408844,5.16960635185,9,0.0621746859585
prefill,8,model.layers.10.block_sparse_moe,3,5.04943990707,5.24726719856,10,0.0625584511428
prefill,8,model.layers.11.block_sparse_moe,3,5.04998397827,5.22641282082,11,0.0625651917422
prefill,8,model.layers.12.block_sparse_moe,3,5.00060796738,5.14901437759,12,0.0619534631501
prefill,8,model.layers.13.block_sparse_moe,3,5.04793596268,5.17471346855,13,0.0625398184957
prefill,8,model.layers.14.block_sparse_moe,3,5.0074877739,5.10808649063,14,0.062038698354
prefill,8,model.layers.15.block_sparse_moe,3,4.94646406174,5.06442890167,15,0.0612826642223
