global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
11,0,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51349,51349,1.0,13350740.0,26496084.0,4120776.0,2076360.0,164.83104,1620,33.42015981674194,54140.65890312195,33.42015981674194,116.47455981674194,7268.0,7986.0
12,0,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51575,51575,1.0,13409500.0,26612700.0,4346268.0,2189980.0,173.85072,1628,33.42015981674194,54408.020181655884,33.42015981674194,121.01935981674194,7980.0,8423.0
13,0,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51251,51251,1.0,13325260.0,26445516.0,4635744.0,2335840.0,185.42976,1618,33.42015981674194,54073.818583488464,33.42015981674194,126.85375981674194,7826.0,8984.0
14,0,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51101,51101,1.0,13286260.0,26368116.0,4554732.0,2295020.0,182.18928,1611,33.42015981674194,53839.87746477127,33.42015981674194,125.22095981674194,6996.0,8827.0
15,0,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50890,50890,1.0,13231400.0,26259240.0,4028412.0,2029820.0,161.13648,1605,33.42015981674194,53639.35650587082,33.42015981674194,114.61295981674195,7128.0,7807.0
16,1,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48520,48520,1.0,12615200.0,25036320.0,4299828.0,2166580.0,171.99312,1531,33.42015981674194,51166.264679431915,33.42015981674194,120.08335981674195,8333.0,6850.0
17,1,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47757,47757,1.0,12416820.0,24642612.0,3655860.0,1842100.0,146.2344,1507,33.42015981674194,50364.18084383011,33.42015981674194,107.10415981674194,7085.0,6992.0
18,1,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48235,48235,1.0,12541100.0,24889260.0,4642452.0,2339220.0,185.69808,1522,33.42015981674194,50865.48324108124,33.42015981674194,126.98895981674194,8997.0,7127.0
19,1,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47993,47993,1.0,12478180.0,24764388.0,3831300.0,1930500.0,153.252,1516,33.42015981674194,50664.962282180786,33.42015981674194,110.64015981674194,6989.0,7425.0
20,1,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48123,48123,1.0,12511980.0,24831468.0,4047504.0,2039440.0,161.90016,1520,33.42015981674194,50798.642921447754,33.42015981674194,114.99775981674195,7844.0,6803.0
21,1,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47874,47874,1.0,12447240.0,24702984.0,3730164.0,1879540.0,149.20656,1512,33.42015981674194,50531.28164291382,33.42015981674194,108.60175981674195,6283.0,7229.0
22,1,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48318,48318,1.0,12562680.0,24932088.0,3621288.0,1824680.0,144.85152,1525,33.42015981674194,50965.74372053146,33.42015981674194,106.40735981674194,6619.0,7018.0
23,1,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48034,48034,1.0,12488840.0,24785544.0,3711588.0,1870180.0,148.46352,1517,33.42015981674194,50698.38244199753,33.42015981674194,108.22735981674194,6797.0,7193.0
24,1,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48355,48355,1.0,12572300.0,24951180.0,3685788.0,1857180.0,147.43152,1528,33.42015981674194,51066.00419998169,33.42015981674194,107.70735981674194,6605.0,7143.0
25,1,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48492,48492,1.0,12607920.0,25021872.0,3737388.0,1883180.0,149.49552,1529,33.42015981674194,51099.42435979843,33.42015981674194,108.74735981674195,6968.0,7243.0
26,1,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48002,48002,1.0,12480520.0,24769032.0,3749772.0,1889420.0,149.99088,1520,33.42015981674194,50798.642921447754,33.42015981674194,108.99695981674195,7267.0,6819.0
27,1,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48270,48270,1.0,12550200.0,24907320.0,3819432.0,1924520.0,152.77728,1522,33.42015981674194,50865.48324108124,33.42015981674194,110.40095981674195,6735.0,7402.0
28,1,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48505,48505,1.0,12611300.0,25028580.0,3689916.0,1859260.0,147.59664,1533,33.42015981674194,51233.1049990654,33.42015981674194,107.79055981674195,7151.0,7130.0
29,1,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48159,48159,1.0,12521340.0,24850044.0,3930888.0,1980680.0,157.23552,1520,33.42015981674194,50798.642921447754,33.42015981674194,112.64735981674194,7618.0,6770.0
30,1,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48508,48508,1.0,12612080.0,25030128.0,3544404.0,1785940.0,141.77616,1532,33.42015981674194,51199.68483924866,33.42015981674194,104.85775981674195,6852.0,6869.0
31,1,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47822,47822,1.0,12433720.0,24676152.0,3812724.0,1921140.0,152.50896,1510,33.42015981674194,50464.441323280334,33.42015981674194,110.26575981674195,6321.0,7389.0
