model,origin_mode,arm,n_questions,bf16_reference_accuracy,uniform_full_accuracy,accuracy,absolute_accuracy_delta_vs_bf16,absolute_accuracy_delta_ci_low,absolute_accuracy_delta_ci_high,incremental_accuracy_delta_vs_uniform_full,incremental_accuracy_harm,incremental_accuracy_harm_ucb95,incremental_accuracy_delta_ci_low,incremental_accuracy_delta_ci_high,cvar_incremental_positive_accuracy_harm,cvar_incremental_positive_accuracy_harm_ucb95,cvar_incremental_positive_accuracy_harm_ci_low,cvar_incremental_positive_accuracy_harm_ci_high,lost_correct_questions_vs_bf16,gained_correct_questions_vs_bf16,mean_absolute_nll_harm_vs_bf16,mean_absolute_nll_harm_ci_low,mean_absolute_nll_harm_ci_high,mean_incremental_nll_harm_vs_uniform_full,mean_incremental_nll_harm_ci_low,mean_incremental_nll_harm_ci_high,mean_incremental_positive_nll_harm,cvar_incremental_nll_harm,cvar_incremental_nll_harm_ci_low,cvar_incremental_nll_harm_ci_high,cvar_incremental_positive_nll_harm,cvar_incremental_positive_nll_harm_ucb95,cvar_incremental_positive_nll_harm_ci_low,cvar_incremental_positive_nll_harm_ci_high,worst_incremental_positive_nll_harm,mean_margin_harm,remote_pairs,low_pairs,measured_low_frac,simulated_saving_fraction,simulated_saving_optimistic_codec,simulated_saving_serialized_tiles_codec,simulated_baseline_us,simulated_policy_us,simulated_policy_us_optimistic_codec,simulated_policy_us_serialized_tiles_codec,saving_evidence
llmjp,hotspot,uniform_full,16,0.375,0.3125,0.3125,-0.0625,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.050440333783626556,0.024580208770930766,0.08008795976638793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,193538,0,0.0,0.0,0.0,0.0,1851.0984,1851.0984,1851.0984,1851.0984,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
llmjp,hotspot,calib_static,16,0.375,0.3125,0.3125,-0.0625,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.050440333783626556,0.024580208770930766,0.08008795976638793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,193538,0,0.0,0.0,0.0,0.0,1851.0984,1851.0984,1851.0984,1851.0984,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
llmjp,hotspot,causal_no_hysteresis,16,0.375,0.3125,0.3125,-0.0625,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.050440333783626556,0.024580208770930766,0.08008795976638793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,193538,0,0.0,0.0,0.0,0.0,1851.0984,1851.0984,1851.0984,1851.0984,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
llmjp,hotspot,controller,16,0.375,0.3125,0.3125,-0.0625,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.050440333783626556,0.024580208770930766,0.08008795976638793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01953125,193538,0,0.0,0.0,0.0,0.0,1851.0984,1851.0984,1851.0984,1851.0984,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
