mode,rank_frac,mean_kl,ci_low,ci_high,n_docs
shadow,0.05,8.038259953260422,7.68927239626646,8.3611630782485,16
shadow,0.1,7.058014541864395,6.734874387830496,7.357987960427999,16
shadow,0.25,3.0255840867757797,2.847591869905591,3.222431657835841,16
shadow,0.5,0.6002944260835648,0.5491067911963909,0.6589426746591925,16
residual,0.05,8.039707243442535,7.719757407903671,8.360866813361644,16
residual,0.1,6.993757456541061,6.6866673566401005,7.274510338157415,16
residual,0.25,2.933674395084381,2.7582599338144065,3.1370042718946936,16
residual,0.5,0.6077257208526134,0.5535237659700215,0.667373937740922,16
