strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,64,128,2,0.0,155.01651453971863,0.0,0.0,0.0
uniform_int4,64,128,2,0.75,244.8602032661438,139.19450080394745,0.20230758648156924,89.84368872642517
rank1_int4,64,128,2,0.375,211.99552637338638,118.71657770872116,0.18901885806939056,56.979011833667755
rank2_int4,64,128,2,0.375,157.900514960289,2.871798252686858,0.0013494868414584238,2.8840004205703735
group0_rank2_int4,64,128,2,0.09735368497109831,154.66728121042252,0.41383278544526547,0.0003663679208201249,-0.34923332929611206
group1_rank2_int4,64,128,2,0.09286488439306362,156.17543935775757,1.042095718672499,0.00036840612108975714,1.1589248180389404
group2_rank2_int4,64,128,2,0.09965227601156068,156.05257761478424,1.1114402090897784,0.00032932671002827365,1.0360630750656128
group3_rank2_int4,64,128,2,0.08535946531791905,155.83172643184662,0.5386654409521725,0.0002505308020521208,0.8152118921279907
