strategy,total_bytes,full_total_bytes,byte_saving_sim,bottleneck_bytes,full_bottleneck_bytes,bottleneck_byte_saving,simulated_latency_us,latency_saving,samples,seq_len,top_k,byte_saving_accuracy,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,679428096.0,679428096.0,0.0,219830272.0,219830272.0,0.0,17586.421759999997,0.0,64,128,2,0.0,155.01651453971863,0.0,0.0,0.0
uniform_int4,169857024.0,679428096.0,0.75,54957568.0,219830272.0,0.75,4396.605439999999,0.75,64,128,2,0.75,244.8602032661438,139.19450080394745,0.2023075864815692,89.84368872642517
rank1_int4,424642560.0,679428096.0,0.375,131903488.0,219830272.0,0.39997577767633385,10552.279040000001,0.39997577767633374,64,128,2,0.375,211.9955263733864,118.71657770872116,0.1890188580693905,56.979011833667755
rank2_int4,424642560.0,679428096.0,0.375,142884352.0,219830272.0,0.35002422232366615,11430.74816,0.35002422232366615,64,128,2,0.375,157.900514960289,2.871798252686858,0.0013494868414584,2.8840004205703735
group0_rank2_int4,612870144.0,679428096.0,0.09796173044925127,204234752.0,219830272.0,0.07094345950679626,16338.780159999998,0.07094345950679615,64,128,2,0.0973536849710983,154.66728121042252,0.4138327854452654,0.0003663679208201,-0.349233329296112
group1_rank2_int4,616978944.0,679428096.0,0.09191429139839402,219830272.0,219830272.0,0.0,17586.421759999997,0.0,64,128,2,0.0928648843930636,156.17543935775757,1.042095718672499,0.0003684061210897,1.1589248180389404
group2_rank2_int4,612753408.0,679428096.0,0.09813354554004194,202375168.0,219830272.0,0.07940264023327959,16190.01344,0.07940264023327948,64,128,2,0.0996522760115606,156.05257761478424,1.1114402090897784,0.0003293267100282,1.0360630750656128
group3_rank2_int4,620324352.0,679428096.0,0.08699043261231276,215605248.0,219830272.0,0.01921948220125025,17248.41984,0.019219482201250138,64,128,2,0.085359465317919,155.83172643184662,0.5386654409521725,0.0002505308020521,0.8152118921279907
