phase,batch_size,num_moe_layers,max_single_layer_share,top4_layer_share,layer_latency_cv
decode,1,2,0.514508030741,1,0.0290160614829
decode,4,2,0.527578045003,1,0.0551560900059
decode,8,2,0.508137574619,1,0.0162751492374
decode,16,2,0.504908275066,1,0.00981655013264
prefill,1,2,0.517072243533,1,0.0341444870669
prefill,4,2,0.513599589569,1,0.0271991791377
prefill,8,2,0.513711270698,1,0.0274225413961
prefill,16,2,0.513897973987,1,0.0277959479742
