sample_id,layer,bucket,predictor,accuracy,n_tokens
2,1,early,neighbor_same_layer,0.47058823529411764,255
2,1,early,freq_baseline_same_layer,0.12549019607843137,255
2,2,early,neighbor_same_layer,0.15294117647058825,255
2,2,early,freq_baseline_same_layer,0.08627450980392157,255
2,3,early,neighbor_same_layer,0.16862745098039217,255
2,3,early,freq_baseline_same_layer,0.07450980392156863,255
2,4,early,neighbor_same_layer,0.2,255
2,4,early,freq_baseline_same_layer,0.10588235294117647,255
2,5,early,neighbor_same_layer,0.23529411764705882,255
2,5,early,freq_baseline_same_layer,0.19607843137254902,255
2,6,early,neighbor_same_layer,0.2196078431372549,255
2,6,early,freq_baseline_same_layer,0.10588235294117647,255
2,7,early,neighbor_same_layer,0.2,255
2,7,early,freq_baseline_same_layer,0.058823529411764705,255
2,8,late,neighbor_same_layer,0.2823529411764706,255
2,8,late,freq_baseline_same_layer,0.13333333333333333,255
2,9,late,neighbor_same_layer,0.26666666666666666,255
2,9,late,freq_baseline_same_layer,0.20784313725490197,255
2,10,late,neighbor_same_layer,0.21176470588235294,255
2,10,late,freq_baseline_same_layer,0.10980392156862745,255
2,11,late,neighbor_same_layer,0.2196078431372549,255
2,11,late,freq_baseline_same_layer,0.09411764705882353,255
2,12,late,neighbor_same_layer,0.4666666666666667,255
2,12,late,freq_baseline_same_layer,0.0,255
2,13,late,neighbor_same_layer,0.2196078431372549,255
2,13,late,freq_baseline_same_layer,0.24705882352941178,255
2,14,late,neighbor_same_layer,0.2235294117647059,255
2,14,late,freq_baseline_same_layer,0.20784313725490197,255
2,15,late,neighbor_same_layer,0.3568627450980392,255
2,15,late,freq_baseline_same_layer,0.1411764705882353,255
3,0,early,freq_baseline,0.171875,256
3,0,early,top1_transition,0.24609375,256
3,0,early,topk_transition,0.234375,256
3,1,early,freq_baseline,0.0390625,256
3,1,early,top1_transition,0.17578125,256
3,1,early,topk_transition,0.04296875,256
3,2,early,freq_baseline,0.05859375,256
3,2,early,top1_transition,0.14453125,256
3,2,early,topk_transition,0.0703125,256
3,3,early,freq_baseline,0.10546875,256
3,3,early,top1_transition,0.25,256
3,3,early,topk_transition,0.1171875,256
3,4,early,freq_baseline,0.0703125,256
3,4,early,top1_transition,0.20703125,256
3,4,early,topk_transition,0.08203125,256
3,5,early,freq_baseline,0.1171875,256
3,5,early,top1_transition,0.32421875,256
3,5,early,topk_transition,0.1328125,256
3,6,early,freq_baseline,0.0390625,256
3,6,early,top1_transition,0.2265625,256
3,6,early,topk_transition,0.07421875,256
3,7,early,freq_baseline,0.1484375,256
3,7,early,top1_transition,0.2265625,256
3,7,early,topk_transition,0.16796875,256
3,8,late,freq_baseline,0.0859375,256
3,8,late,top1_transition,0.234375,256
3,8,late,topk_transition,0.09375,256
3,9,late,freq_baseline,0.140625,256
3,9,late,top1_transition,0.26171875,256
3,9,late,topk_transition,0.1796875,256
3,10,late,freq_baseline,0.0859375,256
3,10,late,top1_transition,0.2265625,256
3,10,late,topk_transition,0.09765625,256
3,11,late,freq_baseline,0.3828125,256
3,11,late,top1_transition,0.20703125,256
3,11,late,topk_transition,0.390625,256
3,12,late,freq_baseline,0.2890625,256
3,12,late,top1_transition,0.3125,256
3,12,late,topk_transition,0.29296875,256
3,13,late,freq_baseline,0.0859375,256
3,13,late,top1_transition,0.26171875,256
3,13,late,topk_transition,0.08984375,256
3,14,late,freq_baseline,0.1171875,256
3,14,late,top1_transition,0.2890625,256
3,14,late,topk_transition,0.125,256
3,0,early,neighbor_same_layer,0.23529411764705882,255
3,0,early,freq_baseline_same_layer,0.25098039215686274,255
3,1,early,neighbor_same_layer,0.1843137254901961,255
3,1,early,freq_baseline_same_layer,0.17254901960784313,255
3,2,early,neighbor_same_layer,0.12941176470588237,255
3,2,early,freq_baseline_same_layer,0.03529411764705882,255
3,3,early,neighbor_same_layer,0.12156862745098039,255
3,3,early,freq_baseline_same_layer,0.054901960784313725,255
3,4,early,neighbor_same_layer,0.18823529411764706,255
3,4,early,freq_baseline_same_layer,0.10588235294117647,255
3,5,early,neighbor_same_layer,0.20784313725490197,255
3,5,early,freq_baseline_same_layer,0.07058823529411765,255
3,6,early,neighbor_same_layer,0.2823529411764706,255
3,6,early,freq_baseline_same_layer,0.11764705882352941,255
3,7,early,neighbor_same_layer,0.19607843137254902,255
3,7,early,freq_baseline_same_layer,0.0392156862745098,255
3,8,late,neighbor_same_layer,0.25882352941176473,255
3,8,late,freq_baseline_same_layer,0.14901960784313725,255
3,9,late,neighbor_same_layer,0.23921568627450981,255
3,9,late,freq_baseline_same_layer,0.08627450980392157,255
3,10,late,neighbor_same_layer,0.21176470588235294,255
3,10,late,freq_baseline_same_layer,0.1411764705882353,255
3,11,late,neighbor_same_layer,0.23137254901960785,255
3,11,late,freq_baseline_same_layer,0.08627450980392157,255
3,12,late,neighbor_same_layer,0.3176470588235294,255
3,12,late,freq_baseline_same_layer,0.3843137254901961,255
3,13,late,neighbor_same_layer,0.3058823529411765,255
3,13,late,freq_baseline_same_layer,0.2901960784313726,255
3,14,late,neighbor_same_layer,0.2901960784313726,255
3,14,late,freq_baseline_same_layer,0.08627450980392157,255
3,15,late,neighbor_same_layer,0.24705882352941178,255
3,15,late,freq_baseline_same_layer,0.11764705882352941,255
4,0,early,freq_baseline,0.19921875,256
4,0,early,top1_transition,0.47265625,256
4,0,early,topk_transition,0.27734375,256
4,1,early,freq_baseline,0.1953125,256
4,1,early,top1_transition,0.1875,256
4,1,early,topk_transition,0.203125,256
4,2,early,freq_baseline,0.0859375,256
4,2,early,top1_transition,0.21875,256
4,2,early,topk_transition,0.109375,256
4,3,early,freq_baseline,0.12890625,256
4,3,early,top1_transition,0.29296875,256
4,3,early,topk_transition,0.1484375,256
4,4,early,freq_baseline,0.19140625,256
4,4,early,top1_transition,0.19140625,256
4,4,early,topk_transition,0.20703125,256
4,5,early,freq_baseline,0.1640625,256
4,5,early,top1_transition,0.3203125,256
4,5,early,topk_transition,0.1953125,256
4,6,early,freq_baseline,0.04296875,256
4,6,early,top1_transition,0.30078125,256
4,6,early,topk_transition,0.0625,256
4,7,early,freq_baseline,0.3671875,256
4,7,early,top1_transition,0.39453125,256
4,7,early,topk_transition,0.375,256
4,8,late,freq_baseline,0.21875,256
4,8,late,top1_transition,0.1484375,256
4,8,late,topk_transition,0.25,256
4,9,late,freq_baseline,0.07421875,256
4,9,late,top1_transition,0.2734375,256
4,9,late,topk_transition,0.1015625,256
4,10,late,freq_baseline,0.20703125,256
4,10,late,top1_transition,0.3671875,256
4,10,late,topk_transition,0.21875,256
4,11,late,freq_baseline,0.12890625,256
4,11,late,top1_transition,0.3671875,256
4,11,late,topk_transition,0.14453125,256
4,12,late,freq_baseline,0.28125,256
4,12,late,top1_transition,0.375,256
4,12,late,topk_transition,0.28515625,256
4,13,late,freq_baseline,0.16015625,256
4,13,late,top1_transition,0.19140625,256
4,13,late,topk_transition,0.171875,256
4,14,late,freq_baseline,0.16796875,256
4,14,late,top1_transition,0.296875,256
4,14,late,topk_transition,0.171875,256
4,0,early,neighbor_same_layer,0.5137254901960784,255
4,0,early,freq_baseline_same_layer,0.5137254901960784,255
4,1,early,neighbor_same_layer,0.49019607843137253,255
4,1,early,freq_baseline_same_layer,0.2,255
4,2,early,neighbor_same_layer,0.1450980392156863,255
4,2,early,freq_baseline_same_layer,0.19215686274509805,255
4,3,early,neighbor_same_layer,0.1843137254901961,255
4,3,early,freq_baseline_same_layer,0.08235294117647059,255
4,4,early,neighbor_same_layer,0.17647058823529413,255
4,4,early,freq_baseline_same_layer,0.12941176470588237,255
4,5,early,neighbor_same_layer,0.24313725490196078,255
