model,batch_size,seq_len,tokens_processed,wall_time_s,mean_power_w,energy_j,throughput_tokens_per_s,energy_per_token_mj
olmoe,1,64,1856,4.123845100402832,106.23292771084338,437.77776548671727,450.06540129712903,235.87164088723992
olmoe,4,64,6912,4.053481340408325,130.88356790123456,524.8108303024769,1705.200892648916,75.92749280996483
olmoe,16,64,25600,4.120159864425659,169.44973493975908,696.9112177971602,6213.351142278694,27.22309444520157
olmoe,64,64,81920,4.190069198608398,267.4633690476191,1113.035251436472,19550.989761030007,13.58685609663662
