strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse
full,256,256,8,0.0,21.256127160042524,0.0,0.0
uniform_fp8,256,256,8,0.5,21.20447194436565,0.39859724590496626,0.0003258429805949051
fp8_r5678int4_tail,256,256,8,0.625,21.551636643707752,2.964089087327011,0.014519241717436831
fp8_r1234int4_head,256,256,8,0.625,28.60905194748193,26.669180558994412,0.06875150805598185
fp8_r1357int4_odd,256,256,8,0.625,27.803540464490652,24.312230622395873,0.051593830571725716
