sample_id,rank1_int4__kl,rankk_int4__kl,model,paired_head_minus_tail_kl
600,0.2422819212665708,0.0036696892554365,olmoe,0.2386122320111343
601,0.1466043126864696,0.0041329400745902,olmoe,0.1424713726118794
602,0.1848298771174873,0.0059524173811664,olmoe,0.1788774597363209
603,0.1517450828251876,0.0032155776587058,olmoe,0.14852950516648178
604,0.279282186913678,0.0037031267571637,olmoe,0.2755790601565143
605,0.331159186175489,0.0045019115988663,olmoe,0.3266572745766227
606,0.161902840681902,0.0058221413394597,olmoe,0.1560806993424423
607,0.2483952740045983,0.004059442854303,olmoe,0.24433583115029528
608,0.1724498478446419,0.0047611148338618,olmoe,0.1676887330107801
609,0.1760572448490172,0.0037675035281444,olmoe,0.1722897413208728
610,0.2063441839743787,0.0039070215750866,olmoe,0.2024371623992921
611,0.1638720955435685,0.0029715956665399,olmoe,0.1609004998770286
612,0.1990496567853792,0.0068170357876875,olmoe,0.1922326209976917
613,0.1467092919537401,0.0038181470604393,olmoe,0.14289114489330082
614,0.1664340101827786,0.0033239980382243,olmoe,0.16311001214455428
615,0.3398352194958784,0.0066614798673494,olmoe,0.33317373962852903
616,0.3048310767947219,0.0080369391779261,olmoe,0.2967941376167958
617,0.1857787605345718,0.0034137084258822,olmoe,0.18236505210868958
618,0.1564007255974717,0.0030054069879486,olmoe,0.1533953186095231
619,0.1864452962800273,0.0036734577239029,olmoe,0.1827718385561244
620,0.187922440175935,0.0050401584369929,olmoe,0.1828822817389421
621,0.1725481138454647,0.0039802996192391,olmoe,0.1685678142262256
622,0.1486383723461722,0.0044604502324982,olmoe,0.144177922113674
623,0.1801112167478546,0.0031694645487417,olmoe,0.1769417521991129
624,0.1929344868096779,0.0050726603335282,olmoe,0.18786182647614968
625,0.2940457561823327,0.0065538808116762,olmoe,0.2874918753706565
626,0.2145246520755797,0.0032301364451881,olmoe,0.2112945156303916
627,0.180621830497201,0.0039077734384011,olmoe,0.17671405705879992
628,0.1764638254961629,0.0041837485756461,olmoe,0.1722800769205168
629,0.1879444272499384,0.0035676824764942,olmoe,0.1843767447734442
630,0.1999952661709522,0.0045993084043968,olmoe,0.1953959577665554
631,0.2688233383058563,0.0035560943010285,olmoe,0.2652672440048278
