model,documents,head_mean_kl,tail_mean_kl,head_tail_ratio,paired_difference_mean,paired_difference_ci_low,paired_difference_ci_high,passed,source,source_sha256
olmoe,128,0.20814738874360328,0.00432605924099444,48.11478002223475,0.20382132950260884,0.19342677227930008,0.21495055337931493,True,/Users/leandrozhao/Desktop/毕设论文资料/docs/ideas/A_rank_tail_fp8/outputs/idea_a_rank_lut_gpu_verify_2026-07-20_olmoe/per_document.csv,d2618d26359170f867f1ef5435ce2689b2dea490685a64308d76ef7dc00f1aad
llmjp,128,0.20197792010983143,0.0017211608713360242,117.34982096882625,0.2002567592384954,0.19311661328625404,0.20789878345447532,True,/Users/leandrozhao/Desktop/毕设论文资料/docs/ideas/A_rank_tail_fp8/outputs/idea_a_rank_lut_gpu_verify_2026-07-20_llmjp/per_document.csv,69dc03c771c515a9215a29737b32fdf4bedb881f9cb03647818cf39a6e8b6c03
