arm,phase,batch_size,prompt_len,repeat,seed,decode_step,module_name,tokens,top_k,num_experts,max_expert_load,mean_expert_load,max_to_mean,load_cv,active_expert_fraction,normalized_entropy,workload
route_census_untimed,decode,1,128,0,20270728,3,model.layers.5.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.6.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.7.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.8.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.9.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.10.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.11.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.12.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.13.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.14.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,3,model.layers.15.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.0.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.1.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.2.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.3.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.4.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.5.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.6.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.7.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
route_census_untimed,decode,1,128,0,20270728,4,model.layers.8.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,synthetic
