arm_natural,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms_natural,tokens_processed_natural,goodput_tokens_per_s_natural,arm_synthetic,latency_ms_synthetic,tokens_processed_synthetic,goodput_tokens_per_s_synthetic,natural_over_synthetic
natural,decode,1,128,2,20270930,8,48.3030090332,1,20.702643997,synthetic,43.4815368652,1,22.9982671289,1.11088550487
natural,decode,1,128,2,20270930,9,43.8539199829,1,22.8029786252,synthetic,43.4476165771,1,23.0162222644,1.00935156949
natural,decode,1,128,2,20270930,10,43.6289901733,1,22.9205396693,synthetic,43.265537262,1,23.1130840684,1.0084005177
natural,decode,1,128,2,20270930,11,43.6613426208,1,22.9035558683,synthetic,43.2038383484,1,23.1460916027,1.0105894358
natural,decode,1,128,2,20270930,12,43.5164794922,1,22.9798001049,synthetic,43.177406311,1,23.1602610124,1.00785302338
natural,decode,1,128,2,20270930,13,43.5443534851,1,22.965090074,synthetic,46.6285438538,1,21.446091114,0.933856172341
natural,decode,1,128,2,20270930,14,43.666431427,1,22.9008867297,synthetic,43.1763839722,1,23.1608094055,1.0113498957
natural,decode,1,128,2,20270930,15,43.6372489929,1,22.9162017102,synthetic,43.1090240479,1,23.1969992847,1.01225323367
natural,prefill,1,128,3,20271031,-1,89.275138855,128,1433.76982261,synthetic,83.5093765259,128,1532.76201218,1.06904329273
natural,decode,1,128,3,20271031,0,43.9133758545,1,22.7721048665,synthetic,43.291809082,1,23.0990577942,1.0143576068
natural,decode,1,128,3,20271031,1,43.6169586182,1,22.9268622041,synthetic,44.9407997131,1,22.2514954425,0.970542555909
natural,decode,1,128,3,20271031,2,43.5803184509,1,22.9461379711,synthetic,46.8571510315,1,21.3414596916,0.930067609566
natural,decode,1,128,3,20271031,3,43.6184959412,1,22.9260541526,synthetic,43.4949111938,1,22.9911953503,1.00284136107
natural,decode,1,128,3,20271031,4,43.4010887146,1,23.0408966599,synthetic,43.6452178955,1,22.9120175868,0.994406507914
natural,decode,1,128,3,20271031,5,50.0046081543,1,19.9981569081,synthetic,43.6664009094,1,22.9009027347,1.14515066763
natural,decode,1,128,3,20271031,6,43.4933776855,1,22.9920059838,synthetic,43.5815696716,1,22.9454791907,0.997976392619
natural,decode,1,128,3,20271031,7,43.4196166992,1,23.0310646666,synthetic,43.717918396,1,22.8739161582,0.993176671998
natural,decode,1,128,3,20271031,8,43.8099822998,1,22.8258480717,synthetic,46.9374732971,1,21.3049388848,0.93336899544
natural,decode,1,128,3,20271031,9,43.7430076599,1,22.860796582,synthetic,43.651550293,1,22.9086938102,1.00209516882
natural,decode,1,128,3,20271031,10,43.4791030884,1,22.9995544749,synthetic,43.8284797668,1,22.8162146011,0.992028546727
