phase,batch_size,independent_sequence_pairs,synthetic_latency_median_ms,natural_latency_median_ms,natural_over_synthetic_median,natural_over_synthetic_min,natural_over_synthetic_max,natural_delta_pct_median
decode,1,5,43.6576805115,43.6166229248,0.999483003901,0.998960994614,1.00646666228,-0.0516996099359
decode,4,5,73.6467857361,73.6893424988,1.00057784956,0.967515699204,1.03474564951,0.0577849559488
decode,8,5,79.3292655945,80.4873275757,1.01130106837,1.00029736378,1.0190253513,1.1301068373
prefill,1,5,83.3015060425,83.8397750854,1.00214071711,0.995665906388,1.08017066455,0.214071710852
prefill,4,5,86.4576644897,86.8436508179,1.00308600161,0.960989848744,1.05601172119,0.308600160632
prefill,8,5,87.0450210571,88.2226867676,1.00087287551,0.904010802295,1.01555538902,0.0872875512689
