mode,rows,hidden,refined_fraction,wire_bytes,sender_pack_us,receiver_unpack_us,measured_pinned_h2d_us,measured_serial_h2d_total_us,wire_us_100gbps,modeled_serial_us_100gbps,modeled_overlap_us_100gbps,wire_us_200gbps,modeled_serial_us_200gbps,modeled_overlap_us_200gbps,wire_us_400gbps,modeled_serial_us_400gbps,modeled_overlap_us_400gbps,wire_us_800gbps,modeled_serial_us_800gbps,modeled_overlap_us_800gbps
uniform_int8,32,512,0.5,16512,17.13520050048828,16.433279514312744,4.121280014514923,37.68976002931595,1.3209600000000001,34.889440014801025,33.568480014801025,0.6604800000000001,34.228960014801025,33.568480014801025,0.33024000000000003,33.89872001480103,33.568480014801025,0.16512000000000002,33.73360001480103,33.568480014801025
uniform_int4,32,512,0.5,8320,17.097280025482178,16.322879791259766,4.228160083293915,37.64831990003586,0.6656000000000001,34.08575981674194,33.42015981674194,0.33280000000000004,33.75295981674194,33.42015981674194,0.16640000000000002,33.58655981674194,33.42015981674194,0.08320000000000001,33.50335981674195,33.42015981674194
direct_mixed_50,32,512,0.5,12416,37.700960636138916,36.51024103164673,4.170080125331879,78.38128179311752,0.9932799999999999,75.20448166778564,74.21120166778564,0.49663999999999997,74.70784166778564,74.21120166778564,0.24831999999999999,74.45952166778565,74.21120166778564,0.12415999999999999,74.33536166778565,74.21120166778564
progressive_50,32,512,0.5,12480,36.97488069534302,32.53119945526123,4.31088000535965,73.8169601559639,0.9984000000000001,70.50448015060425,69.50608015060425,0.49920000000000003,70.00528015060425,69.50608015060425,0.24960000000000002,69.75568015060425,69.50608015060425,0.12480000000000001,69.63088015060424,69.50608015060425
uniform_int8,128,512,0.5,66048,16.92944049835205,16.15504026412964,4.335840046405792,37.42032080888748,5.2838400000000005,38.36832076248169,33.08448076248169,2.6419200000000003,35.72640076248169,33.08448076248169,1.3209600000000001,34.40544076248169,33.08448076248169,0.6604800000000001,33.74496076248169,33.08448076248169
uniform_int4,128,512,0.5,33280,16.79152011871338,16.211999654769897,4.237920045852661,37.24143981933594,2.6624000000000003,35.66591977348328,33.003519773483276,1.3312000000000002,34.33471977348327,33.003519773483276,0.6656000000000001,33.669119773483274,33.003519773483276,0.33280000000000004,33.336319773483275,33.003519773483276
direct_mixed_50,128,512,0.5,49664,38.087520599365234,36.13679885864258,4.249919950962067,78.47423940896988,3.9731199999999998,78.1974394580078,74.22431945800781,1.9865599999999999,76.21087945800781,74.22431945800781,0.9932799999999999,75.21759945800781,74.22431945800781,0.49663999999999997,74.72095945800781,74.22431945800781
progressive_50,128,512,0.5,49920,36.65055990219116,32.22480058670044,4.242559969425201,73.1179204583168,3.9936000000000003,72.8689604888916,68.8753604888916,1.9968000000000001,70.87216048889161,68.8753604888916,0.9984000000000001,69.8737604888916,68.8753604888916,0.49920000000000003,69.3745604888916,68.8753604888916
uniform_int8,512,512,0.5,264192,16.96544051170349,16.18127942085266,6.094239950180054,39.240959882736206,21.135360000000002,54.28207993255616,37.31663942085267,10.567680000000001,43.714399932556155,33.14671993255615,5.2838400000000005,38.43055993255615,33.14671993255615,2.6419200000000003,35.78863993255615,33.14671993255615
uniform_int4,512,512,0.5,133120,16.937439441680908,16.536959409713745,4.2289599776268005,37.703358829021454,10.649600000000001,44.12399885139465,33.47439885139465,5.324800000000001,38.79919885139465,33.47439885139465,2.6624000000000003,36.13679885139466,33.47439885139465,1.3312000000000002,34.80559885139465,33.47439885139465
direct_mixed_50,512,512,0.5,198656,37.75775909423828,36.46064043045044,4.94159996509552,79.15999948978424,15.892479999999999,90.11087952468873,74.21839952468872,7.9462399999999995,82.16463952468872,74.21839952468872,3.9731199999999998,78.19151952468872,74.21839952468872,1.9865599999999999,76.20495952468872,74.21839952468872
progressive_50,512,512,0.5,199680,36.491360664367676,32.688000202178955,4.945119917392731,74.12448078393936,15.974400000000001,85.15376086654663,69.17936086654663,7.9872000000000005,77.16656086654663,69.17936086654663,3.9936000000000003,73.17296086654663,69.17936086654663,1.9968000000000001,71.17616086654664,69.17936086654663
uniform_int8,32,2048,0.5,65664,17.057119607925415,16.31872057914734,4.32015985250473,37.696000039577484,5.25312,38.62896018707275,33.375840187072754,2.62656,36.00240018707275,33.375840187072754,1.31328,34.68912018707275,33.375840187072754,0.65664,34.03248018707275,33.375840187072754
uniform_int4,32,2048,0.5,32896,26.12175941467285,25.37951946258545,6.089119911193848,57.59039878845215,2.63168,54.132958877258304,51.5012788772583,1.31584,52.8171188772583,51.5012788772583,0.65792,52.159198877258305,51.5012788772583,0.32896,51.830238877258296,51.5012788772583
direct_mixed_50,32,2048,0.5,49280,58.99007797241211,56.75951957702637,6.040639877319336,121.79023742675781,3.9423999999999997,119.69199754943847,115.74959754943848,1.9711999999999998,117.72079754943849,115.74959754943848,0.9855999999999999,116.73519754943848,115.74959754943848,0.49279999999999996,116.24239754943848,115.74959754943848
progressive_50,32,2048,0.5,49344,37.242560386657715,33.06879997253418,4.21968013048172,74.53104048967361,3.9475199999999995,74.25888035919189,70.3113603591919,1.9737599999999997,72.2851203591919,70.3113603591919,0.9868799999999999,71.2982403591919,70.3113603591919,0.49343999999999993,70.80480035919189,70.3113603591919
uniform_int8,128,2048,0.5,262656,17.131680250167847,16.54512047767639,6.061279773712158,39.7380805015564,21.01248,54.689280727844235,37.55760047767639,10.50624,44.18304072784424,33.67680072784424,5.25312,38.929920727844234,33.67680072784424,2.62656,36.303360727844236,33.67680072784424
uniform_int4,128,2048,0.5,131584,17.02399969100952,16.47696018218994,4.191040098667145,37.69199997186661,10.52672,44.02767987319946,33.50095987319946,5.26336,38.76431987319946,33.50095987319946,2.63168,36.132639873199466,33.50095987319946,1.31584,34.816799873199464,33.50095987319946
direct_mixed_50,128,2048,0.5,197120,37.97039985656738,37.20047950744629,4.894239902496338,80.06511926651001,15.769599999999999,90.94047936401367,75.17087936401367,7.884799999999999,83.05567936401367,75.17087936401367,3.9423999999999997,79.11327936401366,75.17087936401367,1.9711999999999998,77.14207936401368,75.17087936401367
progressive_50,128,2048,0.5,197376,36.52735948562622,32.79808044433594,4.890719950199127,74.21615988016129,15.790079999999998,85.11551992996215,69.32543992996216,7.895039999999999,77.22047992996215,69.32543992996216,3.9475199999999995,73.27295992996216,69.32543992996216,1.9737599999999997,71.29919992996216,69.32543992996216
uniform_int8,512,2048,0.5,1050624,17.238240242004395,16.611679792404175,20.13983964920044,53.98975968360901,84.04992,117.89984003440857,100.66159979240417,42.02496,75.87488003440856,58.636639792404175,21.01248,54.862400034408566,37.62415979240417,10.50624,44.35616003440857,33.84992003440857
uniform_int4,512,2048,0.5,526336,17.04367995262146,16.513439416885376,10.754560232162476,44.31167960166931,42.10688,75.66399936950683,58.62031941688537,21.05344,54.61055936950683,37.56687941688537,10.52672,44.08383936950683,33.557119369506836,5.26336,38.820479369506835,33.557119369506836
direct_mixed_50,512,2048,0.5,788480,38.0841588973999,37.087039947509766,15.368160009384155,90.53935885429382,63.078399999999995,138.24959884490966,100.16543994750975,31.539199999999997,106.71039884490966,75.17119884490967,15.769599999999999,90.94079884490966,75.17119884490967,7.884799999999999,83.05599884490967,75.17119884490967
progressive_50,512,2048,0.5,789504,36.34223937988281,32.78064012527466,15.460799932479858,84.58367943763733,63.16031999999999,132.28319950515746,95.94096012527464,31.580159999999996,100.70303950515746,69.12287950515747,15.790079999999998,84.91295950515746,69.12287950515747,7.895039999999999,77.01791950515747,69.12287950515747
