origin_mode,num_jobs,budget_fraction,hot_saving_vs_fp8,cold_saving_vs_fp8,random_mean_saving_vs_fp8,random_ci_low,random_ci_high,hot_minus_random,hot_minus_random_zscore,hot_minus_cold,hot_within_random_ci
balanced,4,0.25,0.14110661950480052,0.0,0.05453090786592566,0.05231808994441646,0.0574943153107632,0.08657571163887487,54.96380502639876,0.14110661950480052,False
balanced,4,0.5,0.20490146538655896,0.0,0.10880074111504134,0.10512253663466405,0.11254737241030836,0.09610072427151761,44.222222348657496,0.20490146538655896,False
balanced,4,0.75,0.21702880242546763,0.051667508842850096,0.163230587838976,0.15995136432541696,0.16613188479029825,0.053798214586491616,29.23089786210998,0.16536129358261753,False
balanced,4,1.0,0.21715512885295618,0.21715512885295618,0.21715512885295613,0.21715512885295618,0.21715512885295618,5.551115123125783e-17,5.551115123125782e-08,0.0,True
balanced,8,0.25,0.1728830645161289,0.0,0.05485131048387081,0.048758820564515984,0.05915763608870947,0.11803175403225807,38.81562215583543,0.1728830645161289,False
balanced,8,0.5,0.2124495967741934,0.0,0.10840053763440848,0.1022586945564514,0.1151713709677418,0.10404905913978492,29.692367886030375,0.2124495967741934,False
balanced,8,0.75,0.21572580645161277,0.0017641129032256453,0.1619917674731181,0.15766444052419337,0.16562499999999988,0.05373403897849466,22.87127831756885,0.21396169354838712,False
balanced,8,1.0,0.21572580645161277,0.21572580645161277,0.21572580645161282,0.21572580645161277,0.21572580645161277,-5.551115123125783e-17,-5.551115123125782e-08,0.0,True
balanced,16,0.25,0.1590803065644787,0.0,0.058550483172276006,0.056506164611796146,0.06016827724091983,0.10052982339220268,94.82784606467597,0.1590803065644787,False
balanced,16,0.5,0.2141619460179941,0.0,0.11552482505831399,0.11273492169276915,0.11778823725424868,0.09863712095968011,73.97325127463598,0.2141619460179941,False
balanced,16,0.75,0.22989003665444852,0.0,0.17283349994446304,0.17079890036654458,0.17529323558813742,0.05705653670998548,42.90764310366267,0.22989003665444852,False
balanced,16,1.0,0.23018993668777077,0.23018993668777077,0.23018993668777082,0.23018993668777077,0.23018993668777077,-5.551115123125783e-17,-5.551115123125782e-08,0.0,True
hotspot,4,0.25,0.11851383113361058,0.0,0.06189055625866328,0.05236168866389437,0.07300442957873794,0.0566232748749473,9.888523301952416,0.11851383113361058,False
hotspot,4,0.5,0.2359428674742361,0.011480744892424455,0.12392273850418849,0.1139215331766408,0.13260034351835104,0.11202012897004761,24.308479600578842,0.22446212258181164,False
hotspot,4,0.75,0.2482372084613994,0.12972337732778882,0.18650033146507555,0.18170086783583433,0.19215783764237912,0.06173687699632385,22.53175314173323,0.11851383113361058,False
hotspot,4,1.0,0.2482372084613994,0.2482372084613994,0.24823720846139946,0.2482372084613994,0.2482372084613994,-5.551115123125783e-17,-5.551115123125782e-08,0.0,True
hotspot,8,0.25,0.10275065715358611,0.0,0.061705157091000155,0.05403328013518591,0.06759998122418329,0.041045500062585956,12.354033884038376,0.10275065715358611,False
hotspot,8,0.5,0.20559519339091248,0.040790461885092055,0.12311772437101011,0.11816325572662417,0.1275664194517461,0.08247746901990237,29.662924787654973,0.16480473150582042,False
hotspot,8,0.75,0.24638565527600453,0.14363499812241842,0.18459913631242958,0.18147178933533614,0.1879846507698086,0.061786518963574955,34.066576230911615,0.10275065715358611,False
hotspot,8,1.0,0.24638565527600453,0.24638565527600453,0.24638565527600448,0.24638565527600453,0.24638565527600453,5.551115123125783e-17,5.551115123125782e-08,0.0,True
hotspot,16,0.25,0.14283811147820535,0.0,0.060628263881487766,0.057172546093999785,0.06581317275924545,0.0822098475967176,39.884610860694316,0.14283811147820535,False
hotspot,16,0.5,0.2415538740274964,0.0,0.12146701481402535,0.11764361078546304,0.12571605563252686,0.12008685921347105,52.102627082412056,0.2415538740274964,False
hotspot,16,0.75,0.24200682084621117,0.001438772247681963,0.18176578208817357,0.17916511243738675,0.184431285303208,0.0602410387580376,38.47346038650722,0.2405680485985292,False
hotspot,16,1.0,0.24200682084621117,0.24200682084621117,0.24200682084621122,0.24200682084621117,0.24200682084621117,-5.551115123125783e-17,-5.551115123125782e-08,0.0,True
