total_bytes,byte_saving,max_receiver_bytes,max_over_mean,p95,strategy,max_recv_vs_hot1
5867701248.0,0.5381988053177222,1641958400.0,1.119315269141207,105923993.6,hot1 (receiver-aware),1.0
6011264000.0,0.526900096064576,1879683072.0,1.2508433977398292,124813516.79999998,cold1 (anti-receiver-aware),1.1447811783782098
5937622016.0,0.5326958846967196,1823119360.0,1.2276403918220402,122848665.6,roundrobin (uniform),1.1103322471507195
5924113408.0,0.5337590423199918,1805565952.0,1.2184606474751285,122848665.6,random,1.0996417156488252
