strategy,mean_kl_free,mean_kl_locked,mean_drift_contribution,mean_drift_fraction,mean_numerical_fraction
uniform_fp8,0.29258059058338404,0.11672955343965441,0.17585103714372963,0.5936183382357334,0.4063816617642666
rank8_fp8,0.13045465346658602,0.028825239089201204,0.10162941437738482,0.726390332800348,0.273609667199652
rank1_fp8,0.2573454414959997,0.07862978579942137,0.17871565569657832,0.670522585205365,0.32947741479463505
rank8_int4,0.3613607413135469,0.1793427241500467,0.1820180171635002,0.4813963255456227,0.5186036744543773
