global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,10004,0,0.0,20528208.0,20528208.0,10077372.0,10077372.0,403.09488,0,0.0,0.0,0.0,403.09488,2026.0,4911.0
1,0,1,controller,32,7,4:0;5:0;6:0;6:1;6:2;6:3;7:0,9988,5376,0.5382458950740889,14990352.0,20495376.0,9919368.0,4969352.0,396.77472,171,51.5012788772583,8806.71868801117,51.5012788772583,250.2753588772583,2598.0,4834.0
16,1,0,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8814,6489,0.736215112321307,11441592.0,18086328.0,9262728.0,4640392.0,370.50912,213,51.5012788772583,10969.772400856018,51.5012788772583,237.1169588772583,1900.0,4514.0
17,1,1,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8945,6607,0.7386249301285635,11589572.0,18355140.0,9547956.0,4783284.0,381.91824,215,51.5012788772583,11072.774958610535,51.5012788772583,242.8326388772583,2338.0,4653.0
18,1,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9380,7339,0.782409381663113,11732624.0,19247760.0,10738116.0,5379524.0,429.52464,238,51.5012788772583,12257.304372787476,51.5012788772583,266.6822388772583,2331.0,5233.0
19,1,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10327,8633,0.8359639779219522,12350812.0,21191004.0,12381768.0,6202952.0,495.27072,277,51.5012788772583,14265.85424900055,51.5012788772583,299.61935887725826,2953.0,6034.0
20,1,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9088,6967,0.7666153169014085,11514368.0,18648576.0,9892692.0,4955988.0,395.70768,225,51.5012788772583,11587.787747383118,51.5012788772583,249.7407988772583,2298.0,4821.0
21,1,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8671,6324,0.7293276438703725,11317116.0,17792892.0,9080100.0,4548900.0,363.204,204,51.5012788772583,10506.260890960693,51.5012788772583,233.4572788772583,2136.0,4425.0
22,1,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9624,7707,0.8008104738154613,11856480.0,19748448.0,11050020.0,5535780.0,442.0008,246,51.5012788772583,12669.314603805542,51.5012788772583,272.9324788772583,2777.0,5385.0
23,1,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8974,6796,0.7572988633831067,11455544.0,18414648.0,9843444.0,4931316.0,393.73776,222,51.5012788772583,11433.283910751343,51.5012788772583,248.75391887725831,3024.0,4797.0
24,1,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9394,7295,0.7765595060677027,11806408.0,19276488.0,10500084.0,5260276.0,420.00336,236,51.5012788772583,12154.301815032959,51.5012788772583,261.9123188772583,2262.0,5117.0
25,1,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9373,7263,0.7748853088658914,11796084.0,19233396.0,10356444.0,5188316.0,414.25776,234,51.5012788772583,12051.299257278442,51.5012788772583,259.0339188772583,2566.0,5047.0
26,1,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9495,7418,0.7812532912058978,11887708.0,19483740.0,10680660.0,5350740.0,427.2264,239,51.5012788772583,12308.805651664734,51.5012788772583,265.53087887725826,2368.0,5205.0
27,1,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9386,7405,0.7889409759215853,11677352.0,19260072.0,10719648.0,5370272.0,428.78592,238,51.5012788772583,12257.304372787476,51.5012788772583,266.3121588772583,2493.0,5224.0
28,1,12,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9923,8075,0.8137659981860325,12093196.0,20361996.0,11649204.0,5835956.0,465.96816,259,51.5012788772583,13338.8312292099,51.5012788772583,284.9395188772583,2476.0,5677.0
29,1,13,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8626,6309,0.7313934616276374,11240136.0,17700552.0,9153972.0,4585908.0,366.15888,206,51.5012788772583,10609.26344871521,51.5012788772583,234.9375988772583,2066.0,4461.0
30,1,14,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9525,7485,0.7858267716535433,11880660.0,19545300.0,10811988.0,5416532.0,432.47952,242,51.5012788772583,12463.309488296509,51.5012788772583,268.16255887725833,2262.0,5269.0
31,1,15,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8488,6191,0.7293826578699341,11077792.0,17417376.0,9139608.0,4578712.0,365.58432,201,51.5012788772583,10351.757054328918,51.5012788772583,234.6497588772583,2070.0,4454.0
