model,origin_mode,saving_basis,harm_basis,lambda,winner,winner_reward,reward_uniform_full,reward_uniform_low,reward_calib_static,reward_causal_no_hysteresis,reward_controller
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,uniform_low,0.16459038773225454,0.0,0.16459038773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.1,uniform_low,0.16302788773225454,0.0,0.16302788773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.2,uniform_low,0.16146538773225455,0.0,0.16146538773225455,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.5,uniform_low,0.15677788773225454,0.0,0.15677788773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,1.0,uniform_low,0.14896538773225454,0.0,0.14896538773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,2.0,controller,0.1347812379355391,0.0,0.13334038773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,5.0,controller,0.1347812379355391,0.0,0.08646538773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,10.0,controller,0.1347812379355391,0.0,0.00834038773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,uniform_low,0.16459038773225454,0.0,0.16459038773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,uniform_low,0.0931618163036831,0.0,0.0931618163036831,-0.17118522843135103,-0.10335424790755207,0.049066952221253374
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,uniform_low,0.021733244875111662,0.0,0.021733244875111662,-0.21404237128849388,-0.1890685336218378,-0.03664733349303234
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,uniform_full,0.0,0.0,-0.1925524694106026,-0.34261379985992246,-0.4462113907646949,-0.29379019063588946
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,uniform_full,0.0,0.0,-0.5496953265534598,-0.5568995141456368,-0.8747828193361235,-0.722361619207318
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,uniform_full,0.0,0.0,-1.263981040839174,-0.9854709427170653,-1.7319256764789805,-1.579504476350175
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,uniform_full,0.0,0.0,-3.4068381836963173,-2.271185228431351,-4.303354247907552,-4.1509330477787465
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,uniform_full,0.0,0.0,-6.9782667551248885,-4.4140423712884935,-8.589068533621838,-8.436647333493031
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,uniform_low,0.16459038773225454,0.0,0.16459038773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,uniform_low,0.1576853997879645,0.0,0.1576853997879645,-0.13340485941141692,-0.02593358823162397,0.1252441150246968
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,uniform_low,0.15078041184367447,0.0,0.15078041184367447,-0.13848163324862567,-0.034227214269981585,0.11570699211385449
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,uniform_low,0.13006544801080433,0.0,0.13006544801080433,-0.1537119547602519,-0.059108092385054434,0.08709562338132759
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,uniform_low,0.09554050828935412,0.0,0.09554050828935412,-0.17909582394629564,-0.10057622257684251,0.039410008827116094
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,uniform_low,0.0264906288464537,0.0,0.0264906288464537,-0.22986356231838312,-0.18351248296041867,-0.0559612202813069
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,uniform_full,0.0,0.0,-0.18065900948224756,-0.38216677743464555,-0.43232126411114713,-0.3420749076065759
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,uniform_full,0.0,0.0,-0.5259084066967497,-0.636005469295083,-0.8470025660290279,-0.8189310531486909
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,uniform_low,0.16459038773225454,0.0,0.16459038773225454,-0.12832808557420816,-0.017639962193266356,0.1347812379355391
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,uniform_low,0.12952496328996327,0.0,0.12952496328996327,-0.1583805993098431,-0.05624058750389171,0.09121582841143891
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,uniform_low,0.09445953884767201,0.0,0.09445953884767201,-0.18843311304547805,-0.09484121281451706,0.047650418887338744
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,uniform_full,0.0,0.0,-0.01073673447920176,-0.27859065425238283,-0.2106430887463931,-0.08304580968496175
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,uniform_full,0.0,0.0,-0.18606385669065806,-0.42885322293055755,-0.40364621529951983,-0.3008728573054626
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,uniform_full,0.0,0.0,-0.5367181011135707,-0.729378360286907,-0.7896524684057733,-0.7365269525464643
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,uniform_full,0.0,0.0,-1.5886808343823084,-1.630953772355955,-1.9476712277245336,-2.043489238269469
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,uniform_full,0.0,0.0,-3.341952056496871,-3.133579459137702,-3.877702493255801,-4.221759714474477
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,uniform_low,0.16459038773225476,0.0,0.16459038773225476,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.1,uniform_low,0.16302788773225477,0.0,0.16302788773225477,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.2,uniform_low,0.16146538773225477,0.0,0.16146538773225477,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.5,uniform_low,0.15677788773225476,0.0,0.15677788773225476,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.0,uniform_low,0.14896538773225476,0.0,0.14896538773225476,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,2.0,controller,0.1347812379355393,0.0,0.13334038773225476,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,5.0,controller,0.1347812379355393,0.0,0.08646538773225476,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,10.0,controller,0.1347812379355393,0.0,0.008340387732254761,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,uniform_low,0.16459038773225476,0.0,0.16459038773225476,-0.12832808557420816,-0.017639962193266356,0.1347812379355393
