model,origin_mode,arm,n_questions,bf16_reference_accuracy,uniform_full_accuracy,accuracy,absolute_accuracy_delta_vs_bf16,absolute_accuracy_delta_ci_low,absolute_accuracy_delta_ci_high,incremental_accuracy_delta_vs_uniform_full,incremental_accuracy_harm,incremental_accuracy_delta_ci_low,incremental_accuracy_delta_ci_high,cvar_incremental_positive_accuracy_harm,cvar_incremental_positive_accuracy_harm_ci_low,cvar_incremental_positive_accuracy_harm_ci_high,lost_correct_questions_vs_bf16,gained_correct_questions_vs_bf16,mean_absolute_nll_harm_vs_bf16,mean_absolute_nll_harm_ci_low,mean_absolute_nll_harm_ci_high,mean_incremental_nll_harm_vs_uniform_full,mean_incremental_nll_harm_ci_low,mean_incremental_nll_harm_ci_high,mean_incremental_positive_nll_harm,cvar_incremental_nll_harm,cvar_incremental_nll_harm_ci_low,cvar_incremental_nll_harm_ci_high,cvar_incremental_positive_nll_harm,cvar_incremental_positive_nll_harm_ci_low,cvar_incremental_positive_nll_harm_ci_high,worst_incremental_positive_nll_harm,mean_margin_harm,remote_pairs,low_pairs,measured_low_frac,simulated_saving_fraction,simulated_saving_optimistic_codec,simulated_saving_serialized_tiles_codec,simulated_baseline_us,simulated_policy_us,simulated_policy_us_optimistic_codec,simulated_policy_us_serialized_tiles_codec,saving_evidence
olmoe,balanced,uniform_full,64,0.359375,0.359375,0.359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0014297827146947384,-0.007996124250348657,0.011162695533130318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01452636905014515,313476,0,0.0,0.0,0.0,0.0,4901.65344,4901.65344,4901.65344,4901.65344,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,balanced,uniform_low,64,0.359375,0.359375,0.34375,-0.015625,-0.109375,0.078125,-0.015625,0.015625,-0.109375,0.078125,0.7142857142857143,0.14285714285714285,1.0,5,4,-0.05297960760071874,-0.11421418440295383,0.00524720308603718,-0.054409390315413475,-0.11467860057018697,0.005630531103815872,0.06904987944290042,0.3506542444229126,0.25102789785180774,0.43390123737709857,0.3506542444229126,0.24774071733866418,0.4357877714293344,0.5309311151504517,0.04260254930704832,313789,313789,1.0,0.16459038773225454,0.16459038773225476,-107.12632309937582,4927.8369600000005,4116.762364072266,4116.762364072265,532828.891318006,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,balanced,calib_static,64,0.359375,0.359375,0.390625,0.03125,-0.046875,0.125,0.03125,0.0,-0.0625,0.109375,0.42857142857142855,0.0,1.0,3,5,-0.017819554079324007,-0.062487699440680444,0.022843472473323335,-0.019249336794018745,-0.06529846732737496,0.021087082650046784,0.05076773837208748,0.3005251373563494,0.21182362820420947,0.3864275557654245,0.3005251373563494,0.21116227975913454,0.38326542675495145,0.5309311151504517,0.040161142125725746,313513,137682,0.43915882276014073,-0.12832808557420816,-0.12832808557420816,-47.08268032602408,4900.66848,5529.5618840722655,5529.5618840722655,235637.27590766235,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,balanced,causal_no_hysteresis,64,0.359375,0.359375,0.359375,0.0,-0.109375,0.109375,0.0,0.0,-0.09375,0.109375,0.8571428571428571,0.2857142857142857,1.0,6,6,-0.04004662320949137,-0.10527412013034336,0.021903866296634076,-0.04147640592418611,-0.10417564458912239,0.01880716303130611,0.08293626038357615,0.38600625310625347,0.27491371014288496,0.459494069644383,0.38600625310625347,0.2778911522456578,0.45734555636133467,0.5309311151504517,0.0644531287252903,313637,217337,0.6929571447246339,-0.017639962193266356,-0.017639962193266356,-74.18041206838504,4919.38272,5006.160445195008,5006.160445195008,369841.2200116928,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,balanced,controller,64,0.359375,0.359375,0.375,0.015625,-0.109375,0.140625,0.015625,0.0,-0.09375,0.125,0.8571428571428571,0.2857142857142857,1.0,6,7,-0.014219797682017088,-0.08600494574056938,0.050305886566638924,-0.015649580396711826,-0.0814139838097617,0.04760900001274421,0.095371229108423,0.4356540952410017,0.30470124887568606,0.601632331098829,0.4356540952410017,0.30096929924828664,0.601632331098829,0.794165313243866,0.061035165563225746,313506,289276,0.9227128029447602,0.1347812379355391,0.1347812379355393,-98.8166467082686,4925.2104,4261.384445195008,4261.384445195007,491617.9864606903,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,hotspot,uniform_full,64,0.359375,0.375,0.375,0.015625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-0.0013860664330422878,-0.012174982426222414,0.00985380992060527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063476599752902985,313031,0,0.0,0.0,0.0,0.0,13489.51968,13489.51968,13489.51968,13489.51968,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,hotspot,uniform_low,64,0.359375,0.375,0.3125,-0.046875,-0.140625,0.046875,-0.0625,0.0625,-0.15625,0.03125,1.0,0.42500000000000016,1.0,7,4,-0.022117118816822767,-0.07289394366089255,0.0293302593985572,-0.02073105238378048,-0.07466026431648061,0.034080043761059636,0.07502425322309136,0.3685395121574402,0.26090093265686715,0.47258402705192565,0.3685395121574402,0.26262155451944896,0.4665549397468567,0.5309311151504517,0.05468750558793545,313150,313150,1.0,0.3768355473283336,0.3768355473283336,-38.784993366299425,13487.54976,8404.961564072266,8404.961564072266,536602.0777292334,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,hotspot,calib_static,64,0.359375,0.375,0.3125,-0.046875,-0.125,0.03125,-0.0625,0.0625,-0.140625,0.0,0.7142857142857143,0.14285714285714285,1.0,5,2,-0.007598846219480038,-0.046066265134140846,0.0302484290790744,-0.00621277978643775,-0.046349314693361524,0.03443828939925879,0.05381902027875185,0.26685317925044466,0.17239022978714533,0.362580520766122,0.26685317925044466,0.16939688963549476,0.3692585229873657,0.4719148874282837,0.010375981219112873,313053,207361,0.6623830469600994,0.3768355473283336,0.3768355473283336,-25.000457252980762,13487.54976,8404.961564072266,8404.961564072266,350682.46098233096,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,hotspot,causal_no_hysteresis,64,0.359375,0.375,0.328125,-0.03125,-0.109375,0.046875,-0.046875,0.046875,-0.125,0.015625,0.5714285714285714,0.14285714285714285,1.0,4,2,-0.017916875891387463,-0.052747882646508516,0.015680730785243208,-0.016530809458345175,-0.05502417815150693,0.020908590778708453,0.04449709691107273,0.2542857272284372,0.14674684618200576,0.3569373347929545,0.2542857272284372,0.14846680504935128,0.3675033888646534,0.4784073829650879,0.011230472475290298,313131,226314,0.7227454324228518,0.3657950198249752,0.3657950198249752,-27.359814715920002,13493.1312,8557.411005195008,8557.411005195008,382662.7007695993,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
olmoe,hotspot,controller,64,0.359375,0.375,0.390625,0.03125,-0.0625,0.109375,0.015625,0.0,-0.0625,0.09375,0.42857142857142855,0.0,1.0,3,5,-0.017705979757010937,-0.05666966502321884,0.020235441986005753,-0.01631991332396865,-0.05570752283092588,0.027064052876085033,0.049146849662065506,0.2944720387458801,0.15747766792774198,0.4435561201402118,0.2944720387458801,0.15313945433923176,0.4508733493941171,0.6742401123046875,0.0024414081126451492,313079,232900,0.7439016989322184,0.3657950198249752,0.3657950198249752,-28.19952205923827,13493.1312,8557.411005195008,8557.411005195008,393992.9821225961,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency
