batch,bw_gbps,gpu_tflops,gpu_hbm_tbps,mfu,attn_us,expert_us,router_us,head_us,dispatch_us,combine_us,compute_us,comm_us,total_tbt_us,combine_frac_tbt,comm_frac_tbt,unique_experts_est,expert_bound_by
1,25,150,1.0,0.35,536.870912,1610.612736,4.194304,1.9623350857142856,167.77216,167.77216,2153.640287085714,335.54432,2489.184607085714,6.74004489351331,13.48008978702662,8.0,memory
1,25,150,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,1.9623350857142856,167.77216,167.77216,1390.141658956682,335.54432,1725.685978956682,9.722056158874976,19.44411231774995,8.0,memory
1,25,150,2.0,0.35,268.435456,805.306368,2.097152,1.9623350857142856,167.77216,167.77216,1077.8013110857144,335.54432,1413.3456310857143,11.87056840944982,23.74113681889964,8.0,memory
1,25,312,1.0,0.35,536.870912,1610.612736,4.194304,0.9434303296703297,167.77216,167.77216,2152.6213823296703,335.54432,2488.1657023296702,6.742804944337706,13.485609888675413,8.0,memory
1,25,312,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.9434303296703297,167.77216,167.77216,1389.122754200638,335.54432,1724.667074200638,9.727799788707648,19.455599577415295,8.0,memory
1,25,312,2.0,0.35,268.435456,805.306368,2.097152,0.9434303296703297,167.77216,167.77216,1076.7824063296703,335.54432,1412.3267263296702,11.879132276707907,23.758264553415813,8.0,memory
1,25,750,1.0,0.35,536.870912,1610.612736,4.194304,0.3924670171428572,167.77216,167.77216,2152.0704190171427,335.54432,2487.6147390171427,6.744298358124652,13.488596716249305,8.0,memory
1,25,750,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.3924670171428572,167.77216,167.77216,1388.5717908881106,335.54432,1724.1161108881106,9.730908431310858,19.461816862621717,8.0,memory
1,25,750,2.0,0.35,268.435456,805.306368,2.097152,0.3924670171428572,167.77216,167.77216,1076.231443017143,335.54432,1411.775763017143,11.883768258030562,23.767536516061124,8.0,memory
1,50,150,1.0,0.35,536.870912,1610.612736,4.194304,1.9623350857142856,83.88608,83.88608,2153.640287085714,167.77216,2321.412447085714,3.613579314839551,7.227158629679102,8.0,memory
1,50,150,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,1.9623350857142856,83.88608,83.88608,1390.141658956682,167.77216,1557.913818956682,5.384513506413185,10.76902701282637,8.0,memory
1,50,150,2.0,0.35,268.435456,805.306368,2.097152,1.9623350857142856,83.88608,83.88608,1077.8013110857144,167.77216,1245.5734710857143,6.734735601496074,13.469471202992148,8.0,memory
1,50,312,1.0,0.35,536.870912,1610.612736,4.194304,0.9434303296703297,83.88608,83.88608,2152.6213823296703,167.77216,2320.3935423296703,3.6151660685875964,7.230332137175193,8.0,memory
1,50,312,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.9434303296703297,83.88608,83.88608,1389.122754200638,167.77216,1556.894914200638,5.3880373835680455,10.776074767136091,8.0,memory
1,50,312,2.0,0.35,268.435456,805.306368,2.097152,0.9434303296703297,83.88608,83.88608,1076.7824063296703,167.77216,1244.5545663296703,6.740249264231892,13.480498528463784,8.0,memory
1,50,750,1.0,0.35,536.870912,1610.612736,4.194304,0.3924670171428572,83.88608,83.88608,2152.0704190171427,167.77216,2319.8425790171427,3.61602467161976,7.23204934323952,8.0,memory
1,50,750,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.3924670171428572,83.88608,83.88608,1388.5717908881106,167.77216,1556.3439508881106,5.389944809573189,10.779889619146378,8.0,memory
1,50,750,2.0,0.35,268.435456,805.306368,2.097152,0.3924670171428572,83.88608,83.88608,1076.231443017143,167.77216,1244.003603017143,6.743234488754453,13.486468977508906,8.0,memory
1,100,150,1.0,0.35,536.870912,1610.612736,4.194304,1.9623350857142856,41.94304,41.94304,2153.640287085714,83.88608,2237.5263670857144,1.874527183991538,3.749054367983076,8.0,memory
1,100,150,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,1.9623350857142856,41.94304,41.94304,1390.141658956682,83.88608,1474.027738956682,2.84547155331604,5.69094310663208,8.0,memory
1,100,150,2.0,0.35,268.435456,805.306368,2.097152,1.9623350857142856,41.94304,41.94304,1077.8013110857144,83.88608,1161.6873910857144,3.610527265928228,7.221054531856456,8.0,memory
1,100,312,1.0,0.35,536.870912,1610.612736,4.194304,0.9434303296703297,41.94304,41.94304,2152.6213823296703,83.88608,2236.5074623296705,1.875381178308692,3.750762356617384,8.0,memory
1,100,312,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.9434303296703297,41.94304,41.94304,1389.122754200638,83.88608,1473.008834200638,2.8474398134048773,5.694879626809755,8.0,memory
1,100,312,2.0,0.35,268.435456,805.306368,2.097152,0.9434303296703297,41.94304,41.94304,1076.7824063296703,83.88608,1160.6684863296703,3.6136968043850826,7.227393608770165,8.0,memory
1,100,750,1.0,0.35,536.870912,1610.612736,4.194304,0.3924670171428572,41.94304,41.94304,2152.0704190171427,83.88608,2235.956499017143,1.875843292051382,3.751686584102764,8.0,memory
1,100,750,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.3924670171428572,41.94304,41.94304,1388.5717908881106,83.88608,1472.4578708881106,2.848505266551506,5.697010533103012,8.0,memory
1,100,750,2.0,0.35,268.435456,805.306368,2.097152,0.3924670171428572,41.94304,41.94304,1076.231443017143,83.88608,1160.117523017143,3.6154130222012184,7.230826044402437,8.0,memory
