phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
prefill,1,model.layers.10.block_sparse_moe,3,5.04876804352,5.13341126442,10,0.0619310041462
prefill,1,model.layers.11.block_sparse_moe,3,5.07439994812,5.08108143806,11,0.0622454193811
prefill,1,model.layers.12.block_sparse_moe,3,5.09500789642,5.12481603622,12,0.0624982079665
prefill,1,model.layers.13.block_sparse_moe,3,5.0528960228,5.08506579399,13,0.0619816402419
prefill,1,model.layers.14.block_sparse_moe,3,5.08748817444,5.14552001953,14,0.0624059668635
prefill,1,model.layers.15.block_sparse_moe,3,5.02979183197,5.08076796532,15,0.0616982313538
prefill,4,model.layers.0.block_sparse_moe,3,5.4757437706,5.53311343193,0,0.0648310157936
prefill,4,model.layers.1.block_sparse_moe,3,5.3514881134,5.38155503273,1,0.0633598694413
prefill,4,model.layers.2.block_sparse_moe,3,5.38572788239,5.46734728813,2,0.0637652571104
prefill,4,model.layers.3.block_sparse_moe,3,5.33951997757,5.41085772514,3,0.0632181706264
prefill,4,model.layers.4.block_sparse_moe,3,5.30038404465,5.34554257393,4,0.0627548139772
prefill,4,model.layers.5.block_sparse_moe,3,5.25718402863,5.41667847633,5,0.0622433399129
prefill,4,model.layers.6.block_sparse_moe,3,5.23241615295,5.33629746437,6,0.0619500963635
prefill,4,model.layers.7.block_sparse_moe,3,5.29856014252,5.31005115509,7,0.0627332195723
prefill,4,model.layers.8.block_sparse_moe,3,5.2135682106,5.35477428436,8,0.061726942889
prefill,4,model.layers.9.block_sparse_moe,3,5.29235219955,5.30087690353,9,0.0626597195575
prefill,4,model.layers.10.block_sparse_moe,3,5.17107200623,5.30749773979,10,0.0612238017245
prefill,4,model.layers.11.block_sparse_moe,3,5.26319980621,5.35605101585,11,0.0623145647525
prefill,4,model.layers.12.block_sparse_moe,3,5.19494390488,5.20200004578,12,0.0615064371989
prefill,4,model.layers.13.block_sparse_moe,3,5.24483203888,5.41031661034,13,0.0620970963932
prefill,4,model.layers.14.block_sparse_moe,3,5.24342393875,5.33662061691,14,0.0620804249481
prefill,4,model.layers.15.block_sparse_moe,3,5.19737577438,6.22697582245,15,0.0615352297387
prefill,8,model.layers.0.block_sparse_moe,3,5.41065597534,5.66680307388,0,0.0631578116562
prefill,8,model.layers.1.block_sparse_moe,3,5.37350416183,5.46655664444,1,0.0627241438623
prefill,8,model.layers.2.block_sparse_moe,3,5.36508798599,5.49252810478,2,0.0626259030481
prefill,8,model.layers.3.block_sparse_moe,3,5.31340789795,5.44758701324,3,0.062022648788
prefill,8,model.layers.4.block_sparse_moe,3,5.34710407257,5.42529582977,4,0.0624159794045
prefill,8,model.layers.5.block_sparse_moe,3,5.33235216141,5.43522582054,5,0.0622437824599
prefill,8,model.layers.6.block_sparse_moe,3,5.25935983658,5.30719671249,6,0.0613917535147
prefill,8,model.layers.7.block_sparse_moe,3,5.43033599854,5.60667858124,7,0.0633875337461
prefill,8,model.layers.8.block_sparse_moe,3,5.44979190826,5.66466860771,8,0.0636146397916
prefill,8,model.layers.9.block_sparse_moe,3,5.26319980621,5.41146245003,9,0.0614365769298
prefill,8,model.layers.10.block_sparse_moe,3,5.29942417145,5.42182388306,10,0.0618594187529
prefill,8,model.layers.11.block_sparse_moe,3,5.35468816757,5.37260146141,11,0.0625045074583
prefill,8,model.layers.12.block_sparse_moe,3,5.34819221497,5.37892174721,12,0.0624286811347
prefill,8,model.layers.13.block_sparse_moe,3,5.33187198639,5.41573758125,13,0.0622381774458
prefill,8,model.layers.14.block_sparse_moe,3,5.31670379639,5.54382081032,14,0.062061121338
prefill,8,model.layers.15.block_sparse_moe,3,5.47315216064,5.59154872894,15,0.0638873206693
