phase,batch_size,unprofiled_n,unprofiled_latency_median_ms,unprofiled_latency_p95_ms,unprofiled_goodput_median_tokens_per_s,profiled_latency_median_ms,instrumentation_ratio_median,moe_sum_median_ms,moe_sum_p95_ms,moe_fraction_median,moe_fraction_p95,moe_calls_per_forward
decode,1,48,45.8262882233,46.7210861206,21.8215362801,47.8269767761,1.04365809736,39.603407979,40.1435552239,0.828611357257,0.831192707099,16
decode,4,48,78.8830909729,82.7492515564,50.7079541754,80.8049736023,1.02436368309,72.1220319271,75.9994735718,0.891432184585,0.89714785035,16
decode,8,48,85.1079368591,87.7693943024,93.9983060219,87.5884819031,1.02914587212,78.7156639099,83.867161727,0.899777556211,0.905704193405,16
prefill,1,3,87.9831390381,88.0365875244,1454.82420154,90.7636489868,1.03160275911,81.6585922241,82.1514461994,0.899683883754,0.900020012091,16
prefill,4,3,91.9117431641,92.6644577026,5570.5613056,94.010017395,1.02282922898,84.6249918938,86.5149338722,0.900169941871,0.901607179504,16
prefill,8,3,93.3628768921,97.0428848267,10967.9567949,95.9267501831,1.0274613784,86.2414073944,86.8728766441,0.899033973629,0.90083889485,16
