global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
14,0,14,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2575,2575,1.0,2647100.0,5283900.0,2971296.0,1488544.0,118.85184,88,51.5012788772583,4532.1125411987305,51.5012788772583,111.0430388772583,786.0,1448.0
15,0,15,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2167,2167,1.0,2227676.0,4446684.0,2404944.0,1204816.0,96.19776,78,51.5012788772583,4017.0997524261475,51.5012788772583,99.6939188772583,642.0,1172.0
16,1,0,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2557,2557,1.0,2628596.0,5246964.0,2140236.0,1072204.0,85.60944,88,51.5012788772583,4532.1125411987305,51.5012788772583,94.3894388772583,588.0,1043.0
17,1,1,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2459,2459,1.0,2527852.0,5045868.0,2076624.0,1040336.0,83.06496,86,51.5012788772583,4429.109983444214,51.5012788772583,93.1147188772583,751.0,1012.0
18,1,2,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2789,2789,1.0,2867092.0,5723028.0,2355696.0,1180144.0,94.22784,97,51.5012788772583,4995.624051094055,51.5012788772583,98.7070388772583,854.0,1148.0
19,1,3,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,3087,3087,1.0,3173436.0,6334524.0,2831760.0,1418640.0,113.2704,106,51.5012788772583,5459.13556098938,51.5012788772583,108.2468788772583,945.0,1380.0
20,1,4,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2625,2625,1.0,2698500.0,5386500.0,2236680.0,1120520.0,89.4672,90,51.5012788772583,4635.115098953247,51.5012788772583,96.32207887725829,725.0,1090.0
21,1,5,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2488,2488,1.0,2557664.0,5105376.0,2076624.0,1040336.0,83.06496,87,51.5012788772583,4480.611262321472,51.5012788772583,93.1147188772583,689.0,1012.0
22,1,6,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2911,2911,1.0,2992508.0,5973372.0,2562948.0,1283972.0,102.51792,101,51.5012788772583,5201.629166603088,51.5012788772583,102.8601588772583,913.0,1249.0
23,1,7,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2572,2572,1.0,2644016.0,5277744.0,2144340.0,1074260.0,85.7736,90,51.5012788772583,4635.115098953247,51.5012788772583,94.4716788772583,965.0,1045.0
24,1,8,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2796,2796,1.0,2874288.0,5737392.0,2386476.0,1195564.0,95.45904,98,51.5012788772583,5047.1253299713135,51.5012788772583,99.32383887725831,750.0,1163.0
25,1,9,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2742,2742,1.0,2818776.0,5626584.0,2312604.0,1158556.0,92.50416,96,51.5012788772583,4944.122772216797,51.5012788772583,97.8435188772583,782.0,1127.0
26,1,10,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2779,2779,1.0,2856812.0,5702508.0,2400840.0,1202760.0,96.0336,95,51.5012788772583,4892.621493339539,51.5012788772583,99.6116788772583,781.0,1170.0
27,1,11,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2714,2714,1.0,2789992.0,5569128.0,2306448.0,1155472.0,92.25792,96,51.5012788772583,4944.122772216797,51.5012788772583,97.7201588772583,793.0,1124.0
28,1,12,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,3016,3016,1.0,3100448.0,6188832.0,2735316.0,1370324.0,109.41264,104,51.5012788772583,5356.133003234863,51.5012788772583,106.3142388772583,810.0,1333.0
29,1,13,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2577,2577,1.0,2649156.0,5288004.0,2107404.0,1055756.0,84.29616,90,51.5012788772583,4635.115098953247,51.5012788772583,93.73151887725831,660.0,1027.0
30,1,14,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2819,2819,1.0,2897932.0,5784588.0,2448036.0,1226404.0,97.92144,98,51.5012788772583,5047.1253299713135,51.5012788772583,100.5574388772583,767.0,1193.0
31,1,15,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2542,2542,1.0,2613176.0,5216184.0,2103300.0,1053700.0,84.132,89,51.5012788772583,4583.613820075989,51.5012788772583,93.6492788772583,726.0,1025.0
