global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
17,1,1,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2793,1098,0.39312567132116005,4606884.0,5731236.0,1229148.0,1066332.0,49.16592,40,51.5012788772583,2060.051155090332,51.5012788772583,94.1545588772583,599.0,507.0
18,1,2,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2671,1073,0.4017222014226881,4382140.0,5480892.0,1009584.0,1009584.0,40.38336,41,51.5012788772583,2111.5524339675903,51.5012788772583,91.88463887725831,461.0,492.0
19,1,3,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2554,1120,0.4385277995301488,4093928.0,5240808.0,1030104.0,750552.0,41.20416,42,51.5012788772583,2163.0537128448486,51.5012788772583,81.5233588772583,502.0,383.0
20,1,4,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2741,1106,0.4035023713973003,4491988.0,5624532.0,1697004.0,1462508.0,67.88016,40,51.5012788772583,2060.051155090332,51.5012788772583,110.0015988772583,827.0,472.0
21,1,5,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2859,1046,0.3658621895767751,4795564.0,5866668.0,1194264.0,1157328.0,47.77056,40,51.5012788772583,2060.051155090332,51.5012788772583,97.7943988772583,582.0,564.0
22,1,6,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2671,1131,0.4234369150131037,4322748.0,5480892.0,1075248.0,933936.0,43.00992,43,51.5012788772583,2214.554991722107,51.5012788772583,88.8587188772583,524.0,419.0
23,1,7,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2736,1047,0.3826754385964912,4542144.0,5614272.0,1083456.0,995220.0,43.33824,39,51.5012788772583,2008.5498762130737,51.5012788772583,91.31007887725829,528.0,485.0
24,1,8,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2716,1058,0.3895434462444772,4489840.0,5573232.0,972648.0,972648.0,38.90592,39,51.5012788772583,2008.5498762130737,51.5012788772583,90.40719887725831,417.0,474.0
25,1,9,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2703,1073,0.39696633370329265,4447804.0,5546556.0,1300968.0,1111528.0,52.03872,39,51.5012788772583,2008.5498762130737,51.5012788772583,95.9623988772583,634.0,466.0
26,1,10,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2676,1087,0.40620328849028403,4378064.0,5491152.0,1044468.0,950076.0,41.77872,40,51.5012788772583,2060.051155090332,51.5012788772583,89.5043188772583,509.0,463.0
27,1,11,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2680,1098,0.4097014925373134,4375008.0,5499360.0,896724.0,896724.0,35.86896,41,51.5012788772583,2111.5524339675903,51.5012788772583,87.3702388772583,418.0,437.0
28,1,12,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2627,1115,0.42443852303007235,4248844.0,5390604.0,921348.0,921348.0,36.85392,42,51.5012788772583,2163.0537128448486,51.5012788772583,88.3551988772583,414.0,449.0
29,1,13,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2800,1045,0.3732142857142857,4675520.0,5745600.0,1584144.0,1389584.0,63.36576,37,51.5012788772583,1905.5473184585571,51.5012788772583,107.0846388772583,772.0,518.0
30,1,14,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2719,1132,0.4163295329165134,4420220.0,5579388.0,1110132.0,1032156.0,44.40528,42,51.5012788772583,2163.0537128448486,51.5012788772583,92.7875188772583,541.0,503.0
31,1,15,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2774,1038,0.3741888968997837,4629336.0,5692248.0,1093716.0,1087560.0,43.74864,37,51.5012788772583,1905.5473184585571,51.5012788772583,95.0036788772583,533.0,530.0
