global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
11,0,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2418,2418,1.0,2485704.0,4961736.0,974700.0,488300.0,38.988,90,51.5012788772583,4635.115098953247,51.5012788772583,71.0332788772583,475.0,414.0
12,0,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2623,2623,1.0,2696444.0,5382396.0,1003428.0,502692.0,40.13712,96,51.5012788772583,4944.122772216797,51.5012788772583,71.6089588772583,489.0,482.0
13,0,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2363,2363,1.0,2429164.0,4848876.0,1064988.0,533532.0,42.59952,89,51.5012788772583,4583.613820075989,51.5012788772583,72.8425588772583,519.0,362.0
14,0,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2561,2561,1.0,2632708.0,5255172.0,1030104.0,516056.0,41.20416,96,51.5012788772583,4944.122772216797,51.5012788772583,72.1435188772583,502.0,449.0
15,0,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2466,2466,1.0,2535048.0,5060232.0,865944.0,433816.0,34.63776,93,51.5012788772583,4789.618935585022,51.5012788772583,68.85391887725831,422.0,374.0
16,1,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2785,2785,1.0,2862980.0,5714820.0,1432296.0,717544.0,57.29184,101,51.5012788772583,5201.629166603088,51.5012788772583,80.20303887725831,698.0,512.0
17,1,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2811,2811,1.0,2889708.0,5768172.0,1128600.0,565400.0,45.144,102,51.5012788772583,5253.130445480347,51.5012788772583,74.1172788772583,550.0,515.0
18,1,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2669,2669,1.0,2743732.0,5476788.0,1023948.0,512972.0,40.95792,100,51.5012788772583,5150.12788772583,51.5012788772583,72.0201588772583,474.0,499.0
19,1,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2592,2592,1.0,2664576.0,5318784.0,1036260.0,519140.0,41.4504,97,51.5012788772583,4995.624051094055,51.5012788772583,72.2668788772583,505.0,383.0
20,1,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2727,2727,1.0,2803356.0,5595804.0,1694952.0,849128.0,67.79808,100,51.5012788772583,5150.12788772583,51.5012788772583,85.4663988772583,826.0,466.0
21,1,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2821,2821,1.0,2899988.0,5788692.0,1171692.0,586988.0,46.86768,103,51.5012788772583,5304.631724357605,51.5012788772583,74.98079887725831,571.0,551.0
22,1,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2649,2649,1.0,2723172.0,5435748.0,1095768.0,548952.0,43.83072,100,51.5012788772583,5150.12788772583,51.5012788772583,73.4593588772583,534.0,404.0
23,1,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2739,2739,1.0,2815692.0,5620428.0,1140912.0,571568.0,45.63648,102,51.5012788772583,5253.130445480347,51.5012788772583,74.3639988772583,556.0,488.0
24,1,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2730,2730,1.0,2806440.0,5601960.0,993168.0,497552.0,39.72672,102,51.5012788772583,5253.130445480347,51.5012788772583,71.4033588772583,441.0,484.0
25,1,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2735,2735,1.0,2811580.0,5612220.0,1346112.0,674368.0,53.84448,97,51.5012788772583,4995.624051094055,51.5012788772583,78.4759988772583,656.0,477.0
26,1,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2676,2676,1.0,2750928.0,5491152.0,1013688.0,507832.0,40.54752,97,51.5012788772583,4995.624051094055,51.5012788772583,71.81455887725829,494.0,464.0
27,1,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2699,2699,1.0,2774572.0,5538348.0,919296.0,460544.0,36.77184,100,51.5012788772583,5150.12788772583,51.5012788772583,69.9230388772583,430.0,448.0
28,1,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2643,2643,1.0,2717004.0,5423436.0,931608.0,466712.0,37.26432,100,51.5012788772583,5150.12788772583,51.5012788772583,70.1697588772583,415.0,454.0
29,1,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2800,2800,1.0,2878400.0,5745600.0,1555416.0,779224.0,62.21664,102,51.5012788772583,5253.130445480347,51.5012788772583,82.6702388772583,758.0,521.0
30,1,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2725,2725,1.0,2801300.0,5591700.0,1184004.0,593156.0,47.36016,103,51.5012788772583,5304.631724357605,51.5012788772583,75.2275188772583,577.0,502.0
31,1,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2789,2789,1.0,2867092.0,5723028.0,1103976.0,553064.0,44.15904,102,51.5012788772583,5253.130445480347,51.5012788772583,73.6238388772583,526.0,538.0
