method,actual_kl,predicted_kl,additivity_ratio,mean_ppl,ppl_delta,byte_saving,bottleneck_saving
milp,9.414166443049908,0.09999959959954471,94.14204137566136,16.450535252690315,1.4417621195316315,0.5580194212721585,0.540781290828325
rank_only,9.441152285784483,0.09990196452145016,94.5041704736182,16.862598821520805,1.8538256883621216,0.556640625,0.5451252783091348
greedy,6.622170485556126,0.07874936757637589,84.09172910669466,16.09251743555069,1.083744302392006,0.530755099713243,0.5302105879523615
all_bf16,-4.122570285147731e-08,0.0,0.0,15.008773133158684,0.0,0.0,0.0
uniform_int4,27.152188777923584,0.22390757194898456,121.26516553942169,21.686980038881302,6.678206905722618,0.75,0.75
