model,period,escalate_quantile,reduction_point_estimate,reduction_ci_low,reduction_ci_high,reduction_bar,go_no_go
olmoe,4,0.75,0.5007912797456266,0.4245736962672677,0.5665262847743807,0.45,GO
olmoe,4,0.75,0.5007912797456266,0.4245736962672677,0.5665262847743807,0.5,GO
olmoe,4,0.75,0.5007912797456266,0.4245736962672677,0.5665262847743807,0.55,NO-GO
llmjp,4,0.75,0.47014954168750545,0.40161042276006975,0.5330004349783191,0.45,GO
llmjp,4,0.75,0.47014954168750545,0.40161042276006975,0.5330004349783191,0.5,NO-GO
llmjp,4,0.75,0.47014954168750545,0.40161042276006975,0.5330004349783191,0.55,NO-GO
