global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
17,1,1,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2452,2029,0.8274877650897227,2953808.0,5031504.0,2076624.0,1040336.0,83.06496,69,51.5012788772583,3553.5882425308228,51.5012788772583,93.1147188772583,747.0,1012.0
18,1,2,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2791,2201,0.7886062343246149,3473308.0,5727132.0,2355696.0,1180144.0,94.22784,74,51.5012788772583,3811.0946369171143,51.5012788772583,98.7070388772583,855.0,1148.0
19,1,3,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,3088,2338,0.7571243523316062,3942464.0,6336576.0,2831760.0,1418640.0,113.2704,79,51.5012788772583,4068.6010313034058,51.5012788772583,108.2468788772583,947.0,1380.0
20,1,4,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2628,2113,0.8040334855403348,3228944.0,5392656.0,2236680.0,1120520.0,89.4672,71,51.5012788772583,3656.5908002853394,51.5012788772583,96.32207887725829,724.0,1090.0
21,1,5,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2482,1974,0.7953263497179693,3071688.0,5093064.0,2076624.0,1040336.0,83.06496,68,51.5012788772583,3502.0869636535645,51.5012788772583,93.1147188772583,687.0,1012.0
22,1,6,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2913,2229,0.7651905252317199,3694980.0,5977476.0,2562948.0,1283972.0,102.51792,76,51.5012788772583,3914.097194671631,51.5012788772583,102.8601588772583,915.0,1249.0
23,1,7,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2562,2007,0.7833723653395784,3202056.0,5257224.0,2144340.0,1315588.0,85.7736,68,51.5012788772583,3502.0869636535645,51.5012788772583,104.1247988772583,961.0,1045.0
24,1,8,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2793,2122,0.7597565341926245,3558308.0,5731236.0,2386476.0,1195564.0,95.45904,73,51.5012788772583,3759.593358039856,51.5012788772583,99.32383887725831,752.0,1163.0
25,1,9,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2740,2146,0.7832116788321168,3424976.0,5622480.0,2312604.0,1158556.0,92.50416,74,51.5012788772583,3811.0946369171143,51.5012788772583,97.8435188772583,782.0,1127.0
26,1,10,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2776,2167,0.7806195965417867,3477344.0,5696352.0,2400840.0,1202760.0,96.0336,74,51.5012788772583,3811.0946369171143,51.5012788772583,99.6116788772583,783.0,1170.0
27,1,11,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2714,2191,0.8072955047899779,3325544.0,5569128.0,2306448.0,1155472.0,92.25792,74,51.5012788772583,3811.0946369171143,51.5012788772583,97.7201588772583,786.0,1124.0
28,1,12,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,3019,2300,0.7618416694269625,3839788.0,6194988.0,2735316.0,1370324.0,109.41264,78,51.5012788772583,4017.0997524261475,51.5012788772583,106.3142388772583,812.0,1333.0
29,1,13,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2567,2004,0.7806778340475263,3215388.0,5267484.0,2107404.0,1055756.0,84.29616,69,51.5012788772583,3553.5882425308228,51.5012788772583,93.73151887725831,661.0,1027.0
30,1,14,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2832,2159,0.7623587570621468,3600448.0,5811264.0,2448036.0,1226404.0,97.92144,74,51.5012788772583,3811.0946369171143,51.5012788772583,100.5574388772583,778.0,1193.0
31,1,15,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2539,1950,0.7680189050807404,3213228.0,5210028.0,2103300.0,1053700.0,84.132,68,51.5012788772583,3502.0869636535645,51.5012788772583,93.6492788772583,725.0,1025.0
