block,rows,first_arm,bf16_us,fp8_us
0,16,BF16,98.88000041246414,313.08799982070923
0,2048,BF16,191.55199825763702,302.91199684143066
0,1024,BF16,126.14400684833527,285.40799021720886
0,4096,BF16,338.3040130138397,411.0719859600067
0,2,BF16,76.51200145483017,278.8800001144409
0,8,BF16,76.03199779987335,276.06400847435
0,32,BF16,83.26400071382523,291.1680042743683
0,4,BF16,75.13599842786789,277.536004781723
0,512,BF16,98.55999797582626,281.0879945755005
0,64,BF16,82.20800012350082,291.9999957084656
0,1,FP8,79.55200225114822,273.72801303863525
0,256,BF16,82.75199681520462,282.943993806839
0,128,BF16,75.52000135183334,282.6879918575287
1,4,FP8,77.34400033950806,274.27199482917786
1,1,BF16,68.86400282382965,278.9439857006073
1,16,FP8,72.83200323581696,264.16000723838806
1,256,FP8,91.77599847316742,278.56001257896423
1,64,FP8,78.91199737787247,282.368004322052
1,2,FP8,70.78400254249573,263.35999369621277
1,128,FP8,71.26399874687195,276.095986366272
1,2048,FP8,183.58400464057922,283.1040024757385
1,8,FP8,73.53600114583969,266.59199595451355
1,1024,FP8,123.45600128173828,273.5680043697357
1,32,FP8,79.39200103282928,271.7759907245636
1,4096,FP8,337.3759984970093,422.8160083293915
1,512,FP8,101.9200012087822,273.4079957008362
2,4096,BF16,329.8240005970001,413.34399580955505
2,128,BF16,73.56800138950348,273.50398898124695
2,512,BF16,96.38399630784988,264.22399282455444
2,8,BF16,71.96799665689468,266.6560113430023
2,32,BF16,79.16799932718277,263.93601298332214
2,2048,BF16,185.15199422836304,282.8800082206726
2,64,BF16,78.14399898052216,268.92799139022827
2,1,FP8,73.05599749088287,258.84801149368286
2,256,BF16,78.72000336647034,279.9679934978485
2,2,BF16,72.9919970035553,263.2960081100464
2,4,BF16,70.62400132417679,259.552001953125
2,1024,BF16,123.3920007944107,273.18400144577026
2,16,BF16,71.61600142717361,263.90400528907776
3,4,FP8,75.03999769687653,264.5440101623535
3,8,FP8,71.29599899053574,262.56000995635986
3,1024,FP8,121.05599790811539,272.5760042667389
3,512,FP8,94.91200000047684,267.16798543930054
3,1,BF16,66.59200042486191,266.7199969291687
3,16,FP8,72.7040022611618,255.23200631141663
3,128,FP8,74.52800124883652,284.2879891395569
3,64,FP8,77.2479996085167,267.07199215888977
3,256,FP8,82.49600231647491,267.10399985313416
3,32,FP8,79.13599908351898,267.2320008277893
3,2,FP8,71.84000313282013,265.5999958515167
3,4096,FP8,342.9439961910248,425.53600668907166
3,2048,FP8,184.9920004606247,287.23201155662537
4,1024,BF16,118.33599954843521,277.18400955200195
4,2048,BF16,184.06400084495544,304.83201146125793
4,4096,BF16,338.6879861354828,414.0479862689972
4,32,BF16,81.50400221347809,269.4079875946045
4,8,BF16,72.67200201749802,261.9200050830841
4,128,BF16,70.72000205516815,273.47201108932495
4,1,FP8,75.32799988985062,256.0960054397583
4,4,BF16,67.71200150251389,265.3439939022064
4,256,BF16,87.2960016131401,273.3440101146698
4,2,BF16,74.87999647855759,265.82399010658264
4,512,BF16,95.67999839782715,272.5439965724945
4,64,BF16,85.79199761152267,275.04000067710876
4,16,BF16,73.08799773454666,263.71198892593384
5,8,FP8,73.15199822187424,258.976012468338
5,16,FP8,71.16799801588058,265.3760015964508
5,128,FP8,71.52000069618225,273.18400144577026
5,2,FP8,69.82400268316269,259.3599855899811
5,64,FP8,78.43200117349625,266.400009393692
5,4096,FP8,337.40800619125366,421.6639995574951
5,2048,FP8,184.4159960746765,282.0799946784973
5,4,FP8,74.11199808120728,276.38399600982666
5,32,FP8,79.6160027384758,265.6959891319275
5,512,FP8,93.50399672985077,267.96799898147583
5,1024,FP8,119.07199770212173,273.6639976501465
5,1,BF16,70.91200351715088,278.59199047088623
5,256,FP8,87.96799927949905,267.93599128723145
6,16,BF16,71.26399874687195,272.8320062160492
6,4096,BF16,339.32799100875854,416.6400134563446
6,1024,BF16,123.90399724245071,277.15200185775757
6,8,BF16,75.96799731254578,278.4000039100647
6,512,BF16,97.4079966545105,278.27200293540955
6,2,BF16,73.21599870920181,267.5839960575104
6,64,BF16,79.8719972372055,273.44000339508057
6,4,BF16,73.82400333881378,268.48000288009644
6,2048,BF16,184.64000523090363,291.4240062236786
6,128,BF16,74.07999783754349,275.55200457572937
6,1,FP8,73.63200187683105,260.9280049800873
6,32,BF16,75.80800354480743,269.8880136013031
6,256,BF16,85.28000116348267,272.4800109863281
7,2,FP8,74.40000027418137,268.38400959968567
7,8,FP8,72.41600006818771,270.08000016212463
7,256,FP8,84.16000008583069,266.01600646972656
7,4096,FP8,338.6240005493164,420.415997505188
7,2048,FP8,184.38400328159332,289.8559868335724
7,128,FP8,71.99999690055847,284.7679853439331
7,32,FP8,80.38400113582611,264.8960053920746
7,512,FP8,95.36000341176987,271.0080146789551
7,16,FP8,69.98399645090103,268.095999956131
7,64,FP8,80.25600016117096,278.6239981651306
