global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
16,1,0,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,8814,5992,0.6798275470841842,11950520.0,18086328.0,9262728.0,4640392.0,370.50912,194,51.5012788772583,9991.24810218811,51.5012788772583,237.1169588772583,1900.0,4514.0
17,1,1,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9005,5864,0.6511937812326485,12473524.0,18478260.0,9547956.0,4783284.0,381.91824,190,51.5012788772583,9785.242986679077,51.5012788772583,242.8326388772583,2331.0,4653.0
18,1,2,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9421,6284,0.6670204861479673,12897076.0,19331892.0,10738116.0,5379524.0,429.52464,203,51.5012788772583,10454.759612083435,51.5012788772583,266.6822388772583,2328.0,5233.0
19,1,3,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10404,7007,0.6734909650134564,14173840.0,21349008.0,12381768.0,6202952.0,495.27072,223,51.5012788772583,11484.785189628601,51.5012788772583,299.61935887725826,2960.0,6034.0
20,1,4,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9010,6043,0.6706992230854606,12300488.0,18488520.0,9892692.0,4955988.0,395.70768,195,51.5012788772583,10042.749381065369,51.5012788772583,249.7407988772583,2283.0,4821.0
21,1,5,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,8641,5727,0.6627705126721444,11866884.0,17731332.0,9080100.0,4548900.0,363.204,184,51.5012788772583,9476.235313415527,51.5012788772583,233.4572788772583,2126.0,4425.0
22,1,6,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9565,6661,0.6963930998431782,12806516.0,19627380.0,11050020.0,5535780.0,442.0008,213,51.5012788772583,10969.772400856018,51.5012788772583,272.9324788772583,2785.0,5385.0
23,1,7,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,8935,6297,0.7047565752658086,11886492.0,18334620.0,9843444.0,4931316.0,393.73776,204,51.5012788772583,10506.260890960693,51.5012788772583,248.75391887725831,3026.0,4797.0
24,1,8,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9379,6335,0.6754451434054803,12758668.0,19245708.0,10500084.0,5260276.0,420.00336,205,51.5012788772583,10557.762169837952,51.5012788772583,261.9123188772583,2272.0,5117.0
25,1,9,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9403,6495,0.6907369988301606,12644076.0,19294956.0,10356444.0,5188316.0,414.25776,208,51.5012788772583,10712.266006469727,51.5012788772583,259.0339188772583,2574.0,5047.0
26,1,10,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9460,6565,0.6939746300211417,12689360.0,19411920.0,10680660.0,5350740.0,427.2264,212,51.5012788772583,10918.27112197876,51.5012788772583,265.53087887725826,2370.0,5205.0
27,1,11,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9409,6397,0.6798809650334786,12756740.0,19307268.0,10719648.0,5370272.0,428.78592,205,51.5012788772583,10557.762169837952,51.5012788772583,266.3121588772583,2481.0,5224.0
28,1,12,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9906,6888,0.6953361599030891,13273800.0,20327112.0,11649204.0,5835956.0,465.96816,222,51.5012788772583,11433.283910751343,51.5012788772583,284.9395188772583,2491.0,5677.0
29,1,13,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,8637,6072,0.7030218825981244,11505396.0,17723124.0,9153972.0,4585908.0,366.15888,195,51.5012788772583,10042.749381065369,51.5012788772583,234.9375988772583,2054.0,4461.0
30,1,14,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9473,6603,0.6970336746542806,12677124.0,19438596.0,10811988.0,5416532.0,432.47952,212,51.5012788772583,10918.27112197876,51.5012788772583,268.16255887725833,2262.0,5269.0
31,1,15,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,8514,5722,0.6720695325346489,11611400.0,17470728.0,9139608.0,4578712.0,365.58432,186,51.5012788772583,9579.237871170044,51.5012788772583,234.6497588772583,2064.0,4454.0
