block,rows,first_arm,bf16_us,fp8_us
0,16,BF16,96.3200032711029,297.5679934024811
0,2048,BF16,90.7519981265068,281.95199370384216
0,1024,BF16,85.91999858617783,282.24000334739685
0,4096,BF16,158.36800634860992,276.8639922142029
0,2,BF16,79.45600152015686,267.13600754737854
0,8,BF16,76.28799974918365,279.5200049877167
0,32,BF16,76.51200145483017,271.7759907245636
0,4,BF16,74.01599735021591,266.55998826026917
0,512,BF16,77.27999985218048,273.6639976501465
0,64,BF16,75.48800110816956,267.87200570106506
0,1,FP8,77.40800082683563,254.40001487731934
0,256,BF16,71.07199728488922,276.73599123954773
0,128,BF16,74.94399696588516,266.1759853363037
1,4,FP8,76.86399668455124,262.7840042114258
1,1,BF16,68.41599941253662,259.00799036026
1,16,FP8,75.23199915885925,261.21601462364197
1,256,FP8,75.58400183916092,284.4479978084564
1,64,FP8,73.7600028514862,270.7200050354004
1,2,FP8,74.43200051784515,258.4959864616394
1,128,FP8,74.30399954319,264.92801308631897
1,2048,FP8,89.82399851083755,277.8559923171997
1,8,FP8,74.81600344181061,272.0319926738739
1,1024,FP8,83.77599716186523,272.4800109863281
1,32,FP8,71.9359964132309,268.0320143699646
1,4096,FP8,152.79999375343323,274.81600642204285
1,512,FP8,75.93599706888199,284.5759987831116
2,4096,BF16,150.2400040626526,287.7439856529236
2,128,BF16,77.66400277614594,279.9359858036041
2,512,BF16,76.03199779987335,276.63999795913696
2,8,BF16,77.18399912118912,281.3119888305664
2,32,BF16,74.17599856853485,274.52799677848816
2,2048,BF16,86.36800199747086,282.0799946784973
2,64,BF16,76.92799717187881,277.3120105266571
2,1,FP8,74.5920017361641,262.4639868736267
2,256,BF16,70.46400010585785,282.52801299095154
2,2,BF16,76.64000242948532,268.70399713516235
2,4,BF16,74.14399832487106,283.6799919605255
2,1024,BF16,87.00799942016602,282.52801299095154
2,16,BF16,73.60000163316727,275.13599395751953
3,4,FP8,77.31200009584427,273.21600914001465
3,8,FP8,74.8480036854744,275.7120132446289
3,1024,FP8,84.76799726486206,280.38400411605835
3,512,FP8,76.12799853086472,285.6000065803528
3,1,BF16,70.49600034952164,267.4559950828552
3,16,FP8,76.03199779987335,268.2560086250305
3,128,FP8,76.64000242948532,275.55200457572937
3,64,FP8,75.16799867153168,272.0000147819519
3,256,FP8,72.06399738788605,273.0880081653595
3,32,FP8,72.60800153017044,267.87200570106506
3,2,FP8,73.7600028514862,255.39198517799377
3,4096,FP8,153.4080058336258,275.4240036010742
3,2048,FP8,86.5280032157898,274.84801411628723
4,1024,BF16,79.96799796819687,276.38399600982666
4,2048,BF16,85.24800091981888,272.0319926738739
4,4096,BF16,154.04799580574036,269.1200077533722
4,32,BF16,76.03199779987335,270.4319953918457
4,8,BF16,73.27999919652939,271.5199887752533
4,128,BF16,74.5600014925003,263.90400528907776
4,1,FP8,74.62400197982788,252.76800990104675
4,4,BF16,69.24799829721451,264.3199861049652
4,256,BF16,76.35200023651123,271.807998418808
4,2,BF16,75.58400183916092,255.93599677085876
4,512,BF16,75.55200159549713,270.6559896469116
4,64,BF16,75.19999891519547,265.56798815727234
4,16,BF16,72.60800153017044,263.2000148296356
5,8,FP8,74.62400197982788,267.3279941082001
5,16,FP8,74.17599856853485,268.3199942111969
5,128,FP8,74.14399832487106,277.9200077056885
5,2,FP8,73.79200309515,258.33600759506226
5,64,FP8,72.9919970035553,263.9999985694885
5,4096,FP8,154.40000593662262,276.2239873409271
5,2048,FP8,87.90399879217148,280.16000986099243
5,4,FP8,72.92799651622772,269.3440020084381
5,32,FP8,71.29599899053574,265.5999958515167
5,512,FP8,75.26399940252304,270.59200406074524
5,1024,FP8,84.99199897050858,272.7360129356384
5,1,BF16,71.80800288915634,262.5280022621155
