strategy,sample_id,token_count,nll_sum,mean_nll,sample_ppl,kl_sum,mean_token_kl
full,160,127,209.48513793945312,1.6494892751138042,5.204321171978666,0.0,0.0
full,161,127,282.2930908203125,2.222780242679626,9.23296509830235,0.0,0.0
full,162,127,298.2462158203125,2.3483954001599407,10.468758072818465,0.0,0.0
full,163,127,110.99261474609375,0.8739575964259351,2.396376000649386,0.0,0.0
full,164,127,242.33804321289062,1.908173568605438,6.740766001936254,0.0,0.0
full,165,127,334.80242919921875,2.6362395999938486,13.960607310338037,0.0,0.0
full,166,127,303.4954833984375,2.3897282157357282,10.910528230155332,0.0,0.0
full,167,127,276.2638244628906,2.1753057044322097,8.804876400539491,0.0,0.0
full,168,127,247.54664611816406,1.9491861899068037,7.022969890566774,0.0,0.0
full,169,127,270.4780578613281,2.1297484870970718,8.412750629995255,0.0,0.0
full,170,127,319.5649108886719,2.5162591408556843,12.38218988881957,0.0,0.0
full,171,127,358.21026611328125,2.8205532764825296,16.786135477363015,0.0,0.0
full,172,127,328.7705383300781,2.5887443962998278,13.3130451957154,0.0,0.0
full,173,127,236.08578491210938,1.8589431882843257,6.416951677065782,0.0,0.0
full,174,127,297.69677734375,2.3440691129429134,10.423565048081388,0.0,0.0
full,175,127,339.2808837890625,2.671503021961122,14.461689102279152,0.0,0.0
full,176,127,151.78099060058594,1.1951259102408343,3.303973748443557,0.0,0.0
full,177,127,300.7432556152344,2.368057130828617,10.676628827299517,0.0,0.0
full,178,127,110.21841430664062,0.8678615299735483,2.3818119700560576,0.0,0.0
full,179,127,235.8030242919922,1.8567167267086,6.402680473761756,0.0,0.0
full,180,127,263.96490478515625,2.0784638172059546,7.99218202674364,0.0,0.0
full,181,127,295.9078674316406,2.3299832081231546,10.277768948564013,0.0,0.0
full,182,127,183.07479858398438,1.4415338471179873,4.227174686638889,0.0,0.0
full,183,127,316.2032470703125,2.4897893470103347,12.058735644159624,0.0,0.0
uniform_fp8,160,127,209.02333068847656,1.6458529975470595,5.185431181090344,0.3773803412914276,0.0029714987503262017
uniform_fp8,161,127,281.0614013671875,2.2130819005290356,9.143853459764221,0.515027642250061,0.004055335765748512
uniform_fp8,162,127,294.81243896484375,2.321357787124754,10.189500089743257,0.5594598054885864,0.004405195318807767
uniform_fp8,163,127,111.12016296386719,0.8749619131013164,2.3987839299867186,0.7374790906906128,0.005806921973941833
