candidate,reference,reference_minus_candidate_kl,ci_low,ci_high,probability_candidate_better
block_gate16_residual_int4,block_gate16_f504_int4,-0.05498619111660584,-0.06079845759147422,-0.04975306637819828,0.0
block_reserr16_residual_int4,block_qerr16_f504_int4,-0.056087731141743695,-0.06175828753748122,-0.05104359050435345,0.0
block_gate16_residual_mxfp4,block_gate16_f443_mxfp4,-0.00040049001261631065,-0.0009221082866152754,0.00010291788986153174,0.0618
block_reserr16_residual_mxfp4,block_qerr16_f443_mxfp4,-0.00010060138628864568,-0.000696744305616993,0.0003970668844272457,0.382
