corpus_ppl,mean_token_kl,token_count,sample_count,corpus_ppl_ci_low,corpus_ppl_ci_high,mean_token_kl_ci_low,mean_token_kl_ci_high,strategy,wire_bytes_per_pair,wire_saving_vs_bf16,ppl_delta_vs_full
7.934936334677215,0.0,3048,24,6.385858209914353,9.677559168332515,0.0,0.0,full,4096.0,0.0,0.0
7.90852954205592,0.00376546130151417,3048,24,6.380411712227559,9.629788689732404,0.003297237100768981,0.004257525424436322,uniform_fp8,2064.0,0.49609375,-0.026406792621295416
10.397418199439857,0.2574940747789198,3048,24,8.48636813640265,12.531730598865757,0.24193756527162286,0.2735532076965792,uniform_int4,1028.0,0.7490234375,2.4624818647626414
7.992817113510884,0.021753172979267252,3048,24,6.437761381899731,9.71771855613456,0.019699866557371586,0.02380132394845248,block_gate16_f504_int4,1537.90625,0.6245346069335938,0.0578807788336686
8.459411346255452,0.07673936409587309,3048,24,6.835335664367242,10.280214039186186,0.07103608209942895,0.08276204211427159,block_gate16_residual_int4,1542.0,0.62353515625,0.5244750115782368
7.954503715524967,0.011292414637062494,3048,24,6.4054876948700645,9.697183914996353,0.01041181099324871,0.012177291092049732,block_qerr16_f504_int4,1537.90625,0.6245346069335938,0.019567380847751892
8.433881636424077,0.06738014577880619,3048,24,6.794932261729377,10.2613032394045,0.06221827001865767,0.07315765081506388,block_reserr16_residual_int4,1542.0,0.62353515625,0.49894530174686214
8.2879452137343,0.04273835426866226,3048,24,6.698578183717859,10.070751152247023,0.03814563321590111,0.047383338220789044,uniform_mxfp4,1088.0,0.734375,0.3530088790570849
7.940885424300724,0.0053451937229771,3048,24,6.401405759907015,9.68993983289481,0.00480559672622543,0.005890777770654736,block_gate16_f443_mxfp4,1629.375,0.602203369140625,0.005949089623508819
7.948981607212763,0.0057456837355934105,3048,24,6.403670898258172,9.685582949762699,0.005084336468377921,0.006456479439976334,block_gate16_residual_mxfp4,1632.0,0.6015625,0.014045272535547326
7.92528899294798,0.005051356532520509,3048,24,6.395422691001214,9.65811391542597,0.004496107145097703,0.0056582671489928335,block_qerr16_f443_mxfp4,1629.375,0.602203369140625,-0.009647341729235315
7.933228503184373,0.005151957918809155,3048,24,6.393058488519907,9.676097850084654,0.004574593516394223,0.005739923855509814,block_reserr16_residual_mxfp4,1632.0,0.6015625,-0.00170783149284226
