layer,rank,group_median_share_mean,group_median_share_min,group_median_share_max,group_median_share_cv,group_median_share_max_over_min,traffic_max_over_mean,traffic_max_over_min
0,1,0.13117060624063015,0.11797445267438889,0.13952520489692688,0.06285598546368715,1.1826730426291392,2.120775458664488,4.797043010752688
0,2,0.1023758128285408,0.09474688768386841,0.1060677170753479,0.04427466736016691,1.1194849737888222,1.469806135333878,2.8862310385064176
0,3,0.0862935520708561,0.08204738795757294,0.08917546272277832,0.03304518232010427,1.0868775343450463,1.249647181163188,1.8487912087912088
0,4,0.0758843906223774,0.07485741376876831,0.0763983204960823,0.008235072122656088,1.0205845573569212,1.4166233380375846,1.8838403792967207
0,5,0.06849678792059422,0.06638675928115845,0.07020706683397293,0.025106970484335224,1.0575462275035128,1.21310257743445,1.7538659793814433
0,6,0.06296162400394678,0.061983827501535416,0.06359244138002396,0.010689451125333715,1.0259521546720989,1.1768550843051326,1.6862494678586633
0,7,0.057430594228208065,0.05661232769489288,0.05864157900214195,0.013032851932800855,1.0358446894850453,1.2027037064547277,1.7418244406196213
0,8,0.05322903301566839,0.05226963758468628,0.05397038161754608,0.011539746609944277,1.0325378960224143,1.2139939092327119,1.6207854026180086
0,9,0.04912401922047138,0.0486297570168972,0.04956957697868347,0.008219283374013498,1.019326026273578,1.1973557156651564,1.5037313432835822
0,10,0.04594914987683296,0.045369263738393784,0.04658416286110878,0.010237757001562986,1.0267780215636801,1.147144024363069,1.453142642077531
0,11,0.04281521774828434,0.04207942262291908,0.04344476759433746,0.013522905186000909,1.0324468561190459,1.151303572754958,1.3644366197183098
0,12,0.04014570638537407,0.039672330021858215,0.04073714837431908,0.010921400088838245,1.0268403280541925,1.0823739136893709,1.3090190441969098
0,13,0.03770153596997261,0.03729608654975891,0.03825945407152176,0.009330319856117647,1.0258302575654301,1.081482581891109,1.2322274881516588
0,14,0.03556568082422018,0.03532414138317108,0.03596628084778786,0.006773805601527219,1.018178487557597,1.050583079551363,1.1751412429378532
0,15,0.03369842283427715,0.03340236842632294,0.03432462736964226,0.010851702438188462,1.027610585319828,1.0859392408824184,1.1696
0,16,0.032048674300312996,0.031113971024751663,0.03258705511689186,0.018920089306817073,1.047344779326571,1.0639530565252915,1.1444550974752317
1,1,0.16494577005505562,0.15898913145065308,0.16839811205863953,0.02328876621764074,1.059180023955957,1.6962044120924014,2.65041782729805
1,2,0.1193168144673109,0.11262667924165726,0.12375281006097794,0.03431475600562235,1.0987877019391463,1.4368268587981876,2.0853816300129364
1,3,0.0952240526676178,0.0901273712515831,0.09824930876493454,0.03355797889473759,1.090116214425912,1.1768550843051326,1.3937368050668544
1,4,0.08023868501186371,0.0763908177614212,0.08289818465709686,0.030377336161826255,1.0851851974670443,1.0981207754586644,1.3018668545262417
1,5,0.06940034031867981,0.06687398254871368,0.07195921242237091,0.026672781468150008,1.0760419774604113,1.1085196464383866,1.2317596566523605
1,6,0.061541599221527576,0.06008759140968323,0.06323947757482529,0.01830100361781637,1.052454859500894,1.19438460967095,1.3576494427558257
1,7,0.05517969839274883,0.05354229733347893,0.057425450533628464,0.025890832404193962,1.072524964253289,1.2909455544826562,1.4895440521083305
1,8,0.04973352234810591,0.048527445644140244,0.05220275744795799,0.029123177515337825,1.075736766174948,1.3337294807992275,1.594671403197158
1,9,0.045272293500602245,0.04391660541296005,0.0475253164768219,0.031036418621105396,1.0821719035414539,1.3646289831389735,1.6397715101749375
1,10,0.04126480966806412,0.04031936079263687,0.04280025139451027,0.0244189519346044,1.0615310003209788,1.3729480799227511,1.645069419722321
1,11,0.0379655584692955,0.03675415739417076,0.039672091603279114,0.028751075005400455,1.079390589146553,1.3197652826264576,1.5498953244940683
1,12,0.034916375763714314,0.03356382995843887,0.03678622841835022,0.03656243993120016,1.0960080677295037,1.3037213102577434,1.5892792466497645
1,13,0.0322857741266489,0.031164299696683884,0.033950258046388626,0.03233174985076951,1.0893958271746818,1.271633365520315,1.5507246376811594
1,14,0.029859161470085382,0.02878771722316742,0.03174280747771263,0.03906225658733017,1.1026510796822422,1.2312263239991086,1.4617283950617284
1,15,0.027789141051471233,0.026656916365027428,0.029393887147307396,0.03802718622853239,1.1026739456582735,1.2330089875956325,1.4664310954063604
1,16,0.025749363005161285,0.025205060839653015,0.026486678048968315,0.01940451051275624,1.0508476141941716,1.1370422639827675,1.2514715500327012
2,1,0.1751895658671856,0.16380494832992554,0.1806473284959793,0.03799931923343822,1.1028197275953526,1.2885686696872911,1.9976969138645786
2,2,0.11939611099660397,0.11554404348134995,0.12262701243162155,0.022301678973860917,1.0613010306447763,1.2217187848176483,1.6790526745610452
2,3,0.0954475924372673,0.09084555506706238,0.0976579487323761,0.02882608279503622,1.0749887395182385,1.2344945405927357,1.832010582010582
2,4,0.07983727753162384,0.07806866616010666,0.08117838948965073,0.014626456807726718,1.0398331812556718,1.1738839783109263,1.7260812581913498
2,5,0.06892179325222969,0.0679287537932396,0.07095813006162643,0.017297858285539588,1.0445963763387682,1.132585604991458,1.5603765861645518
2,6,0.06035526283085346,0.05853049084544182,0.06255301833152771,0.02527859733374697,1.0687253332063789,1.1328827155908787,1.4836575875486382
2,7,0.05382934398949146,0.0520569272339344,0.0563662014901638,0.032449248525787865,1.0827800349579664,1.126049171804204,1.4684230918248742
2,8,0.048290870152413845,0.04703693091869354,0.05037383735179901,0.027113400437767984,1.0709422653207015,1.1097080888360693,1.372657111356119
