sample_id,char_count,token_count_input,unique_token_ratio,token_id_entropy,adjacent_repeat_rate,early_route_top1_weight_mean,early_route_top1_weight_std,early_route_top1_top2_margin_mean,early_route_tail_mass_mean,early_route_routing_entropy_mean,early_route_rank1_hhi_mean,early_route_active_expert_fraction_mean,early_route_same_id_adjacent_layer_rate,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate,full_mean_nll,full_sample_ppl,fp8top8_rest_int4__decode_steps,fp8top8_rest_int4__decode_kl_sum,fp8top8_rest_int4__decode_mean_kl,fp8top8_rest_int4__decode_p95_step_kl,fp8top8_rest_int4__decode_reference_nll,fp8top8_rest_int4__decode_candidate_nll,fp8top8_rest_int4__decode_nll_delta,rankk_drop_renorm__decode_steps,rankk_drop_renorm__decode_kl_sum,rankk_drop_renorm__decode_mean_kl,rankk_drop_renorm__decode_p95_step_kl,rankk_drop_renorm__decode_reference_nll,rankk_drop_renorm__decode_candidate_nll,rankk_drop_renorm__decode_nll_delta,keep12_drop_renorm__decode_steps,keep12_drop_renorm__decode_kl_sum,keep12_drop_renorm__decode_mean_kl,keep12_drop_renorm__decode_p95_step_kl,keep12_drop_renorm__decode_reference_nll,keep12_drop_renorm__decode_candidate_nll,keep12_drop_renorm__decode_nll_delta,keep8_drop_renorm__decode_steps,keep8_drop_renorm__decode_kl_sum,keep8_drop_renorm__decode_mean_kl,keep8_drop_renorm__decode_p95_step_kl,keep8_drop_renorm__decode_reference_nll,keep8_drop_renorm__decode_candidate_nll,keep8_drop_renorm__decode_nll_delta,split
184,288.0,64.0,0.78125,3.809443085683234,0.0,0.22398948669433594,0.10865871608257294,0.09533262252807617,0.2506364583969116,0.8929743766784668,0.1943359375,0.97265625,0.020833333333333332,0.2132267951965332,0.08869272470474243,0.08166587352752686,0.2492988407611847,0.9009948372840881,0.127410888671875,1.0,0.025,2.944765363420759,19.00620231294564,16,0.04555179923772812,0.0028469874523580074,0.006108797155320644,2.5147273540496826,2.5276567935943604,0.012929773889482021,16,0.049770288169384,0.0031106430105865,0.006643414963036776,2.5147273540496826,2.4790587425231934,-0.03566876798868179,16,0.3276308476924896,0.0204769279807806,0.04683731496334076,2.5147273540496826,2.4462852478027344,-0.0684422180056572,16,2.4143149852752686,0.15089468657970428,0.3919939398765564,2.5147273540496826,2.637493133544922,0.12276583909988403,train
185,248.0,64.0,0.65625,3.622671193405071,0.0,0.19799423217773438,0.09617093950510025,0.07490015029907227,0.26836609840393066,0.9123197793960571,0.16259765625,0.98828125,0.025,0.18046140670776367,0.0732785239815712,0.060364365577697754,0.2835921049118042,0.9286853671073914,0.098480224609375,1.0,0.040625,3.0481434171161954,21.076178404229807,16,0.08422830700874329,0.005264269188046455,0.01344898622483015,4.027936935424805,3.991068124771118,-0.03686847537755966,16,0.14298538863658905,0.008936586789786816,0.019695542752742767,4.027936935424805,4.0591936111450195,0.031257208436727524,16,0.7456218004226685,0.04660136252641678,0.13210470974445343,4.027936935424805,4.066311359405518,0.03837517648935318,16,4.11021614074707,0.2568885087966919,0.5417754054069519,4.027936935424805,4.188427448272705,0.16049107909202576,train
186,261.0,64.0,0.734375,3.722799688116242,0.0,0.18614578247070312,0.09388859570026398,0.06808137893676758,0.2857329845428467,0.9242746829986572,0.158203125,0.99609375,0.020833333333333332,0.19312095642089844,0.07593117654323578,0.06686556339263916,0.2676906883716583,0.9174741506576538,0.118896484375,1.0,0.015625,2.856209648980035,17.395466894608557,16,0.03729981929063797,0.002331238705664873,0.004716274794191122,2.4878289699554443,2.503969192504883,0.016140194609761238,16,0.06923767924308777,0.0043273549526929855,0.01600692793726921,2.4878289699554443,2.49757981300354,0.009750789031386375,16,0.39728692173957825,0.02483043260872364,0.06625165790319443,2.4878289699554443,2.4659416675567627,-0.02188749983906746,16,2.8605549335479736,0.17878468334674835,0.528616189956665,2.4878289699554443,2.600363254547119,0.11253441125154495,train
187,171.0,64.0,0.78125,3.8474554395683747,0.0,0.18764114379882812,0.088338203728199,0.06282663345336914,0.27096235752105713,0.919134795665741,0.1962890625,0.94921875,0.06666666666666667,0.20334100723266602,0.09083706885576248,0.07627391815185547,0.25956058502197266,0.9092044830322266,0.1617431640625,0.994140625,0.03125,2.82855224609375,16.920945717641924,16,0.046262796968221664,0.002891424810513854,0.006719981320202351,2.0152664184570312,2.034677743911743,0.01941116340458393,16,0.056032828986644745,0.0035020518116652966,0.008356144651770592,2.0152664184570312,2.019965887069702,0.004699324257671833,16,0.3376547694206238,0.021103423088788986,0.044894009828567505,2.0152664184570312,2.026923418045044,0.01165693812072277,16,2.7435293197631836,0.17147058248519897,0.44312000274658203,2.0152664184570312,2.1709821224212646,0.15571565926074982,train
188,267.0,64.0,0.71875,3.728109033017098,0.0,0.2020854949951172,0.09645760804414749,0.07913446426391602,0.2759770154953003,0.9142500162124634,0.19091796875,0.9921875,0.03333333333333333,0.21279239654541016,0.09087061882019043,0.08115947246551514,0.2535799443721771,0.9012707471847534,0.130096435546875,1.0,0.029166666666666667,2.810304914202009,16.61498359095853,16,0.05792839080095291,0.003620524425059557,0.011523393914103508,2.410731077194214,2.3954248428344727,-0.01530604436993599,16,0.05744146928191185,0.0035900918301194906,0.01462877169251442,2.410731077194214,2.3796818256378174,-0.031049437820911407,16,0.3843775987625122,0.024023599922657013,0.10382090508937836,2.410731077194214,2.4177520275115967,0.007020960096269846,16,2.060990810394287,0.12881192564964294,0.5455700755119324,2.410731077194214,2.693182945251465,0.28245189785957336,train
189,226.0,64.0,0.796875,3.8527647844672313,0.0,0.2146148681640625,0.10547661036252975,0.08572053909301758,0.25037264823913574,0.8975785970687866,0.1953125,0.970703125,0.029166666666666667,0.20840787887573242,0.08558981865644455,0.07897579669952393,0.25551754236221313,0.9057520031929016,0.144134521484375,1.0,0.023958333333333335,2.913748847113715,18.425744551574155,16,0.06342580169439316,0.003964112605899572,0.010347996838390827,2.9702537059783936,2.9453976154327393,-0.024856116622686386,16,0.06026861071586609,0.0037667881697416306,0.011060724034905434,2.9702537059783936,2.9938347339630127,0.02358088083565235,16,0.3701205253601074,0.023132532835006714,0.05846940353512764,2.9702537059783936,3.0217807292938232,0.05152685195207596,16,3.1933043003082275,0.19958151876926422,0.646728515625,2.9702537059783936,3.1760261058807373,0.20577242970466614,train
190,289.0,64.0,0.703125,3.6393024645405436,0.0,0.18853759765625,0.08795706927776337,0.0623631477355957,0.27201569080352783,0.9190718531608582,0.1728515625,0.99609375,0.05,0.18632888793945312,0.07093415409326553,0.0587388277053833,0.2692725360393524,0.9207494854927063,0.146026611328125,1.0,0.042708333333333334,2.381292191762773,10.818873895091262,16,0.06095775589346886,0.0038098597433418036,0.0074643827974796295,2.6200954914093018,2.6475882530212402,0.027492769062519073,16,0.08337666094303131,0.005211041308939457,0.012829018756747246,2.6200954914093018,2.611447811126709,-0.00864768773317337,16,0.6732935905456543,0.042080849409103394,0.11808614432811737,2.6200954914093018,2.7493748664855957,0.12927941977977753,16,2.306868314743042,0.14417926967144012,0.2592904567718506,2.6200954914093018,2.755523920059204,0.13542822003364563,train
191,246.0,64.0,0.75,3.7714307318000935,0.0,0.2254962921142578,0.1065140962600708,0.09523439407348633,0.24628043174743652,0.8900411128997803,0.1796875,0.986328125,0.025,0.21040868759155273,0.09019583463668823,0.08098351955413818,0.25413623452186584,0.9030662775039673,0.13409423828125,1.0,0.028125,2.5166773720393105,12.387369589833396,16,0.07139375060796738,0.004462109412997961,0.012952977791428566,2.6274211406707764,2.617929697036743,-0.009491480886936188,16,0.07751081883907318,0.004844426177442074,0.014213306829333305,2.6274211406707764,2.615186929702759,-0.012234268710017204,16,0.2699275612831116,0.016870472580194473,0.03927413001656532,2.6274211406707764,2.595181703567505,-0.03223968297243118,16,2.159911870956421,0.1349944919347763,0.30225223302841187,2.6274211406707764,2.7126307487487793,0.08520950376987457,train
192,258.0,64.0,0.734375,3.7579456346549174,0.0,0.2038593292236328,0.09811951220035553,0.07444620132446289,0.2569371461868286,0.9040771722793579,0.1611328125,0.96875,0.025,0.19544506072998047,0.07901828736066818,0.06783425807952881,0.26523110270500183,0.9150351285934448,0.116546630859375,1.0,0.016666666666666666,2.884739709278894,17.898908069442275,16,0.04661642387509346,0.0029135264921933413,0.007454471662640572,1.8162353038787842,1.8187999725341797,0.002564717084169388,16,0.051707059144973755,0.0032316911965608597,0.007959844544529915,1.8162353038787842,1.7955732345581055,-0.020662028342485428,16,0.30726853013038635,0.019204283133149147,0.043512750416994095,1.8162353038787842,1.7767571210861206,-0.03947828710079193,16,1.3938868045806885,0.08711792528629303,0.16985423862934113,1.8162353038787842,1.7846450805664062,-0.03159022331237793,train
193,284.0,64.0,0.78125,3.8229281828294113,0.0,0.20368576049804688,0.09855663776397705,0.07797479629516602,0.2690296173095703,0.9100958108901978,0.18115234375,0.98046875,0.016666666666666666,0.20062780380249023,0.08536192029714584,0.07268989086151123,0.2612461447715759,0.9107425808906555,0.104766845703125,1.0,0.020833333333333332,2.296268765888517,9.937035789554082,16,0.044802673161029816,0.0028001670725643635,0.005942358635365963,1.518054723739624,1.5266765356063843,0.008621788583695889,16,0.052247948944568634,0.0032654968090355396,0.006452915258705616,1.518054723739624,1.5063109397888184,-0.011743899434804916,16,0.31627827882766724,0.019767392426729202,0.05492899566888809,1.518054723739624,1.5129042863845825,-0.0051504457369446754,16,1.8121720552444458,0.11326075345277786,0.4362838864326477,1.518054723739624,1.5969284772872925,0.07887376844882965,train
