frozen_source_label,frozen_feature_group,frozen_alpha,decode_action,decode_test_samples,decode_test_spearman,decode_test_spearman_ci_low,decode_test_spearman_ci_high,decode_worst_decile_auc,decode_worst_decile_recall_at_10pct
same_prompt_fixed_tail_int4,post_prefill_all,1.0,fp8top8_rest_int4,16,0.35000000000000003,-0.2242455761177901,0.7563260511626038,0.5357142857142857,0.0
same_prompt_fixed_tail_int4,post_prefill_all,1.0,rankk_drop_renorm,16,0.2441176470588235,-0.3512947593869219,0.8187428079857889,0.5,0.0
same_prompt_fixed_tail_int4,post_prefill_all,1.0,keep12_drop_renorm,16,0.02941176470588235,-0.5096596903408649,0.5791163551611312,0.5714285714285714,0.5
same_prompt_fixed_tail_int4,post_prefill_all,1.0,keep8_drop_renorm,16,-0.05294117647058824,-0.5684684116960306,0.502994462881466,0.32142857142857145,0.0
