action,selected_feature_group,selected_alpha,validation_spearman,test_spearman,test_spearman_ci_low,test_spearman_ci_high,test_worst_decile_auc,test_worst_decile_recall_at_10pct,test_worst_quartile_recall_at_25pct
fp8top8_rest_int4,post_prefill_all,0.0,0.11904761904761905,-0.10294117647058824,-0.5178571428571429,0.37314238990234017,0.2857142857142857,0.0,0.0
rankk_drop_renorm,arrival_lexical,0.0,0.261904761904762,-0.3970588235294118,-0.8353365187433353,0.15178571428571427,0.5357142857142857,0.0,0.25
keep12_drop_renorm,arrival_lexical,0.0,0.19047619047619052,-0.07647058823529412,-0.4857528378667808,0.4123377772996903,0.32142857142857145,0.0,0.25
keep8_drop_renorm,arrival_lexical,0.0,0.5952380952380953,0.044117647058823525,-0.5446428571428571,0.5827433716503937,0.75,0.5,0.5
