phase,batch_size,unprofiled_n,unprofiled_latency_median_ms,unprofiled_latency_p95_ms,unprofiled_goodput_median_tokens_per_s,profiled_latency_median_ms,instrumentation_ratio_median,moe_sum_median_ms,moe_sum_p95_ms,moe_fraction_median,moe_fraction_p95,moe_calls_per_forward
decode,1,48,43.1351203918,44.7523975372,23.1829667195,45.0927371979,1.04538336252,37.3803040981,37.665592134,0.829142273905,0.830294964515,16
decode,4,48,72.5066261292,76.5124893188,55.167372471,74.5231018066,1.02781091585,66.2112160921,69.9937047958,0.888815851038,0.893943887152,16
decode,8,48,78.7583198547,87.1932048798,101.576571842,80.8164825439,1.02613263834,72.5508322716,81.5392485619,0.897802510784,0.906936004313,16
prefill,1,3,86.944480896,87.3915145874,5888.81542248,88.7534713745,1.02080627154,79.7818241119,81.6000257969,0.899610832459,0.900353088859,16
prefill,4,3,90.4902114868,94.8043640137,22632.2821701,93.1695022583,1.02960862537,82.9994549751,87.7067867279,0.890843601858,0.895664449831,16
prefill,8,3,106.383171082,113.194687653,38502.3303814,108.017089844,1.01535880859,94.6219520569,97.5246176243,0.894031089183,0.898927507757,16
