batch_size,n_decode_steps,spearman_latency_vs_route_max_to_mean_mean,pvalue_max_to_mean_descriptive_only,spearman_latency_vs_route_load_cv_mean,pvalue_load_cv_descriptive_only,route_max_to_mean_max_median,route_max_to_mean_mean,route_load_cv_mean,evidence_boundary
1,8,,,,,2,2,1,single-GPU route imbalance correlation; not receiver congestion
4,8,-0.755928946018,0.0300197452875,-0.928571428571,0.0008629681829,2,1.9921875,0.605926554883,single-GPU route imbalance correlation; not receiver congestion
8,8,-0.206094674112,0.624375396078,-0.738095238095,0.0365527610529,2,1.970703125,0.559009808348,single-GPU route imbalance correlation; not receiver congestion
