block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
2,219,r64_a2_linear_skew_rep1,64,2,linear_skew,1,0.65625,0.3125,4;5,42;22,163.90399634838104
2,220,r32_a4_uniform_rep1,32,4,uniform,1,0.25,0.0,22;32;37;45,8;8;8;8,261.82401180267334
2,221,r128_a16_linear_skew_rep1,128,16,linear_skew,1,0.109375,0.4759858191164943,3;6;12;15;21;27;30;33;40;42;45;46;48;52;60;62,14;13;13;12;11;10;9;8;8;7;6;5;4;3;3;2,901.6960263252258
2,222,r64_a4_linear_skew_rep1,64,4,linear_skew,1,0.390625,0.4192627457812106,8;9;28;49,25;19;13;7,273.24798703193665
2,223,r32_a16_zipf_rep0,32,16,zipf,0,0.1875,0.6123724356957945,3;4;5;7;8;9;15;19;21;23;25;30;36;38;45;62,6;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1,893.5359716415405
2,224,r64_a4_zipf_rep1,64,4,zipf,1,0.46875,0.5284854539152426,8;9;28;49,30;15;11;8,269.6320116519928
2,225,r128_a4_hot50_rep2,128,4,hot50,2,0.4921875,0.5594535559365049,0;11;15;55,63;22;22;21,290.6239926815033
2,226,r128_a1_zipf_rep2,128,1,zipf,2,1.0,0.0,38,128,107.87200182676315
2,227,r128_a4_zipf_rep2,128,4,zipf,2,0.46875,0.5326268921581034,0;11;15;55,60;31;21;16,278.1440019607544
2,228,r256_a4_hot50_rep1,256,4,hot50,1,0.49609375,0.5683291712335379,36;50;54;61,127;43;43;43,277.3120105266571
2,229,r128_a4_uniform_rep0,128,4,uniform,0,0.25,0.0,37;40;48;52,32;32;32;32,281.3760042190552
2,230,r128_a4_hot50_rep0,128,4,hot50,0,0.4921875,0.5594535559365049,37;40;48;52,63;22;22;21,278.30401062965393
2,231,r128_a4_zipf_rep1,128,4,zipf,1,0.46875,0.5326268921581034,5;9;41;59,60;31;21;16,276.8639922142029
2,232,r128_a4_uniform_rep1,128,4,uniform,1,0.25,0.0,5;9;41;59,32;32;32;32,277.47198939323425
2,233,r256_a1_zipf_rep2,256,1,zipf,2,1.0,0.0,34,256,115.52000045776367
2,234,r128_a2_hot50_rep2,128,2,hot50,2,0.5,0.0,23;32,64;64,165.0560051202774
2,235,r64_a8_hot50_rep2,64,8,hot50,2,0.453125,0.9921567416492215,1;5;18;35;46;56;59;60,29;5;5;5;5;5;5;5,480.6720018386841
2,236,r32_a2_hot50_rep1,32,2,hot50,1,0.5,0.0,8;20,16;16,150.30400454998016
2,237,r128_a1_hot50_rep0,128,1,hot50,0,1.0,0.0,48,128,103.80800068378448
2,238,r32_a8_hot50_rep0,32,8,hot50,0,0.40625,0.8569568250501305,2;11;19;21;22;41;43;52,13;3;3;3;3;3;2;2,472.06398844718933
2,239,r256_a8_linear_skew_rep1,256,8,linear_skew,1,0.21875,0.4876402041977261,17;27;29;32;33;41;54;58,56;49;42;35;29;22;15;8,524.832010269165
3,0,r64_a8_uniform_rep1,64,8,uniform,1,0.125,0.0,1;10;12;17;30;31;42;43,8;8;8;8;8;8;8;8,479.0079891681671
3,1,r256_a16_zipf_rep0,256,16,zipf,0,0.28125,1.0404419884116558,0;1;3;11;12;15;17;18;22;35;42;47;50;57;58;59,72;37;25;19;15;13;11;10;9;8;7;7;6;6;6;5,933.0559968948364
