strategy,mean_ppl,mean_kl,combine,dispatch,ppl_delta
full,15.008773133158684,0.0,full,none,
dispatch_uniform_fp8,14.986583784222603,0.32090505748055875,full,dispatch_uniform_fp8,-0.022189348936080933
dispatch_uniform_int8,16.57341429591179,5.676082596182823,full,dispatch_uniform_int8,1.5646411627531052
dispatch_uniform_int4,20.63706086575985,26.504339396953583,full,dispatch_uniform_int4,5.628287732601166
dispatch_rank8_int4,15.07991299033165,0.4441417884081602,full,dispatch_rank8_int4,0.071139857172966
dispatch_rank1_int4,18.490976184606552,16.001962140202522,full,dispatch_rank1_int4,3.4822030514478683
rt_dispatch_fp8_combine_fp8,14.926897808909416,0.43540590768679976,uniform_fp8,dispatch_uniform_fp8,-0.08187532424926758
rt_dispatch_fp8_combine_tailint4,15.081530079245567,2.123119419440627,fp8top4_rest_int4,dispatch_uniform_fp8,0.07275694608688354
rt_dispatch_bf16_combine_tailint4,15.019235655665398,2.004670288413763,fp8top4_rest_int4,none,0.010462522506713867
