cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,6,False,COMPLETE,1.7396467229152341,0.9375,1.8556231711095832,16,2.6185995023697615,0.17629662031928697,,
1,0,steady,6,True,COMPLETE,1.6241083092386357,0.875,1.8561237819870122,16,2.764573462307453,0.1786402389407158,0.4215087890625,5.964062589531143
2,0,bursty,6,False,COMPLETE,1.7827183595058176,0.9375,1.9015662501395387,16,2.6713658031076193,0.1772036605825027,,
3,0,bursty,6,True,COMPLETE,1.466403712216529,0.8125,1.8048045688818817,16,3.0069532487541437,0.18300720391174158,0.4215087890625,5.964062589531143
