predictor,true_col,point_ratio_pred_over_true,ratio_ci_low,ratio_ci_high,mean_relative_error,median_relative_error
naive_additive,true_joint_kl_free,4.634661680641792,4.481952586571058,4.795398509970854,3.6563962106961165,3.6755362050492346
locked_additive,true_joint_kl_locked,3.771913555807722,3.668955188935104,3.869144658005366,2.76245741478741,2.7136614216867643
locked_additive_plus_global_drift,true_joint_kl_free,2.514765154830335,2.368608326974984,2.68861071783461,1.6020023318638266,1.6160673406243187
