block,rows,bf16_linear_us,dynamic_fp8_linear_us,prequant_fp8_mm_us,quant_only_us
0,16,39.64800015091896,112.19199746847153,29.983999207615852,70.88000327348709
0,2048,44.704001396894455,98.01600128412247,30.047999694943428,76.19199901819229
0,1024,33.344000577926636,96.54399752616882,26.335999369621277,70.8480030298233
0,4096,45.1200008392334,98.01600128412247,31.42400085926056,69.11999732255936
0,2,26.335999369621277,85.28000116348267,22.304000332951546,70.56000083684921
0,8,22.752000018954277,93.50399672985077,26.30399912595749,65.5680000782013
0,32,24.320000782608986,88.51200342178345,26.335999369621277,67.23199784755707
0,4,24.73600022494793,86.68799698352814,24.57600086927414,66.20799750089645
0,512,26.367999613285065,84.86399799585342,22.816000506281853,69.50400024652481
0,64,22.816000506281853,91.80799871683121,26.335999369621277,65.11999666690826
0,1,26.048000901937485,82.71999657154083,22.463999688625336,64.44799900054932
0,256,24.992000311613083,93.72799843549728,24.480000138282776,68.70400160551071
0,128,22.752000018954277,90.52799642086029,23.871999233961105,69.2799985408783
1,8,23.93599972128868,88.99199962615967,26.27200074493885,64.09599632024765
1,16,23.80800060927868,85.40800213813782,25.887999683618546,68.31999868154526
1,128,24.25600029528141,92.16000139713287,25.472000241279602,68.64000111818314
1,2,29.37600016593933,84.99199897050858,24.064000695943832,66.20799750089645
1,64,24.480000138282776,87.80799806118011,25.50400048494339,64.12799656391144
1,4096,44.83199864625931,93.53599697351456,32.255999743938446,71.32799923419952
1,2048,38.2080003619194,87.48800307512283,22.87999913096428,70.65600156784058
1,4,24.224000051617622,90.7519981265068,24.512000381946564,65.34399837255478
1,32,23.615999147295952,88.22400122880936,25.696000084280968,63.10400366783142
1,512,22.175999358296394,90.84799885749817,23.104000836610794,70.23999840021133
1,1024,31.295999884605408,89.63199704885483,23.64799939095974,71.48800045251846
1,1,30.848000198602676,85.50400286912918,22.112000733613968,68.35199892520905
1,256,25.760000571608543,94.36800330877304,25.696000084280968,84.09599959850311
2,128,25.855999439954758,107.00800269842148,28.095999732613564,73.85600358247757
2,2048,37.59999945759773,92.3520028591156,24.480000138282776,89.21600133180618
2,2,31.456001102924347,97.47199714183807,24.064000695943832,65.92000275850296
2,1,177.15199291706085,137.11999356746674,75.3600001335144,367.0080006122589
2,64,137.02400028705597,690.6239986419678,250.91201066970825,553.4080266952515
2,4,167.7439957857132,594.8160290718079,225.92000663280487,513.9200091362
2,256,58.49599838256836,850.7840037345886,51.29599943757057,336.35199069976807
2,4096,50.016000866889954,592.8959846496582,33.76000002026558,478.08000445365906
2,8,62.65600025653839,105.69600015878677,36.448001861572266,108.15999656915665
2,512,27.83999964594841,88.83199840784073,24.480000138282776,71.29599899053574
2,32,24.960000067949295,84.89599823951721,24.607999250292778,65.0240033864975
2,16,23.520000278949738,84.25600081682205,26.079999282956123,68.15999746322632
2,1024,28.095999732613564,89.6959975361824,22.816000506281853,70.49600034952164
3,8,24.159999564290047,87.39200234413147,26.30399912595749,66.27199798822403
3,4096,44.096000492572784,93.98400038480759,32.35200047492981,70.88000327348709
3,32,24.351999163627625,89.05600011348724,24.73600022494793,71.61600142717361
3,1024,27.775999158620834,87.00799942016602,24.191999807953835,69.82400268316269
3,256,25.18399991095066,92.41600334644318,25.312000885605812,68.15999746322632
3,4,24.480000138282776,84.28800106048584,24.671999737620354,65.37599861621857
3,16,22.816000506281853,90.30400216579437,24.89599958062172,64.44799900054932
3,128,24.351999163627625,95.74399888515472,24.607999250292778,68.83200258016586
3,64,24.09599907696247,87.55200356245041,26.559999212622643,63.13599646091461
3,2,25.18399991095066,86.07999980449677,24.159999564290047,66.52799993753433
3,2048,38.91199827194214,87.61599659919739,24.480000138282776,70.91200351715088
3,1,24.927999824285507,83.03999900817871,24.768000468611717,67.32799857854843
3,512,23.296000435948372,91.71199798583984,23.104000836610794,69.88800317049026
4,4096,43.58400031924248,95.58399766683578,30.432000756263733,68.51200014352798
4,2,24.992000311613083,83.26400071382523,24.86399933695793,66.04799628257751
4,4,24.09599907696247,82.8159973025322,24.159999564290047,63.07200342416763
4,1024,29.440000653266907,92.8959995508194,22.84800074994564,71.07199728488922
4,128,24.25600029528141,90.59199690818787,24.383999407291412,69.40799951553345
4,256,24.224000051617622,92.22400188446045,23.840000852942467,67.6800012588501
4,1,24.57600086927414,82.36800134181976,22.655999287962914,69.34399902820587
4,16,24.768000468611717,87.93599903583527,24.768000468611717,66.91200286149979
4,2048,39.39199820160866,90.59199690818787,23.584000766277313,67.6800012588501
4,32,22.87999913096428,89.79199826717377,27.2000003606081,63.80800157785416
4,8,24.12799932062626,87.36000210046768,26.623999699950218,65.63200056552887
4,64,23.96799996495247,87.00799942016602,30.848000198602676,65.98400324583054
4,512,24.512000381946564,91.39200299978256,23.104000836610794,68.7360018491745
5,1,24.064000695943832,85.50400286912918,24.351999163627625,64.19199705123901
5,32,23.840000852942467,88.0960002541542,24.800000712275505,64.57599997520447
5,8,23.96799996495247,88.95999938249588,23.96799996495247,65.69600105285645
5,256,23.96799996495247,91.839998960495,26.1439997702837,67.10399687290192
5,512,24.512000381946564,89.6959975361824,23.840000852942467,67.32799857854843
5,16,23.93599972128868,87.48800307512283,27.168000116944313,64.35199826955795
5,1024,28.64000014960766,88.54400366544724,22.975999861955643,68.00000369548798
5,2048,35.61599925160408,93.1520015001297,22.943999618291855,70.04799693822861
5,4,24.89599958062172,89.21600133180618,24.831999093294144,64.99200314283371
5,2,24.639999493956566,86.17600053548813,23.072000592947006,67.58400052785873
5,4096,43.68000105023384,93.98400038480759,30.49599938094616,70.43199986219406
5,64,24.09599907696247,88.639996945858,25.855999439954758,64.89600241184235
5,128,25.439999997615814,94.68799829483032,25.98400041460991,73.21599870920181
6,1024,26.59199945628643,87.00799942016602,23.840000852942467,72.28799909353256
6,128,24.831999093294144,90.40000289678574,25.05600079894066,68.64000111818314
6,2048,37.087999284267426,89.63199704885483,22.84800074994564,69.47200000286102
6,256,23.615999147295952,91.61599725484848,26.27200074493885,66.43199920654297
6,64,23.16799946129322,87.99999952316284,27.264000847935677,63.45599889755249
6,8,23.744000121951103,83.67999643087387,25.95200017094612,64.51199948787689
6,16,21.663999184966087,85.05599945783615,25.312000885605812,66.52799993753433
6,4096,43.35999861359596,92.96000003814697,32.3840007185936,70.91200351715088
6,4,24.288000538945198,88.19200098514557,25.248000398278236,63.4239986538887
6,512,24.70399998128414,86.2400010228157,24.032000452280045,69.37599927186966
6,32,23.840000852942467,88.35200220346451,25.439999997615814,63.551999628543854
6,2,24.288000538945198,84.89599823951721,22.495999932289124,65.24799764156342
6,1,24.4159996509552,87.93599903583527,24.447999894618988,64.7360011935234
7,32,24.383999407291412,89.08800035715103,25.087999179959297,65.5359998345375
7,512,23.80800060927868,87.61599659919739,23.871999233961105,71.3919997215271
7,256,24.320000782608986,89.75999802350998,25.631999596953392,67.90400296449661
7,1024,27.871999889612198,88.03199976682663,24.09599907696247,69.50400024652481
7,16,24.288000538945198,84.57600325345993,25.536000728607178,64.99200314283371
7,8,21.568000316619873,88.86399865150452,26.016000658273697,64.35199826955795
7,2048,36.896001547575,86.84799820184708,24.4159996509552,70.62400132417679
7,4096,43.68000105023384,92.92799979448318,31.808000057935715,67.1359971165657
7,2,25.312000885605812,87.16800063848495,22.431999444961548,63.61600011587143
7,1,24.320000782608986,84.48000252246857,23.48800003528595,63.07200342416763
7,4,24.54400062561035,87.90399879217148,25.599999353289604,62.912002205848694
7,64,22.304000332951546,86.33600175380707,25.151999667286873,66.27199798822403
7,128,24.800000712275505,88.95999938249588,24.831999093294144,69.66400146484375
8,128,24.159999564290047,96.25600278377533,26.11199952661991,68.64000111818314
8,8,23.455999791622162,87.61599659919739,25.98400041460991,63.551999628543854
8,64,24.383999407291412,90.62399715185165,26.27200074493885,66.75200164318085
8,2,24.768000468611717,79.68000322580338,22.624000906944275,67.80800223350525
8,256,22.87999913096428,89.63199704885483,24.86399933695793,70.43199986219406
8,32,24.191999807953835,84.48000252246857,25.567999109625816,66.27199798822403
8,4,23.64799939095974,87.93599903583527,24.89599958062172,64.54399973154068
8,1024,28.44800055027008,89.75999802350998,22.6879995316267,67.9360032081604
8,16,23.584000766277313,86.91199868917465,26.815999299287796,65.47199934720993
8,4096,43.83999854326248,92.76799857616425,30.33600002527237,70.0799971818924
8,2048,38.46399858593941,87.42400258779526,22.624000906944275,69.24799829721451
8,512,24.288000538945198,88.73599767684937,22.816000506281853,68.89600306749344
