feature_group,role,frozen_alpha,fit_samples_exploratory_train_plus_validation,replication_test_samples,replication_spearman,replication_spearman_ci_low,replication_spearman_ci_high,replication_worst_decile_auc,replication_worst_decile_recall_at_10pct
arrival_lexical,control,1.0,64,64,0.2602564102564102,0.022334506045230712,0.47586299369053014,0.6265664160401002,0.2857142857142857
full_router_plus_lexical,control,0.1,64,64,0.4678571428571428,0.23191491152270877,0.6514624535560146,0.6140350877192983,0.42857142857142855
prefill_nll_only,control,0.0,64,64,0.18108974358974356,-0.07294886532665154,0.41481867540262535,0.7268170426065163,0.2857142857142857
prefill_nll_plus_lexical,control,100.0,64,64,0.23896520146520142,-0.001262673649423957,0.45630470647541355,0.7092731829573935,0.2857142857142857
post_prefill_all,primary,1.0,64,64,0.5173992673992674,0.31523516153658937,0.673171155481475,0.7268170426065163,0.2857142857142857
