lag,spearman,ci_low,ci_high,n_documents,n_pairs,go_no_go
1,0.180405374508842,0.12171083285025219,0.2275564146738614,20,940,NO-GO
2,0.1031914950996747,0.04227049108450935,0.15948195274986013,20,920,NO-GO
3,0.09951218869817535,0.030521101546798674,0.1637237306630163,20,900,NO-GO
4,0.0986225212302467,0.039640974605230424,0.14168893570287008,20,880,NO-GO
6,0.022380720899142833,-0.04904806343263952,0.08699056175427755,20,840,NO-GO
8,0.06800131718955811,0.012413274219812793,0.11487295164003687,20,800,NO-GO
