doc_id,step,kl,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate
500,0,0.2879100441932678,0.1201324462890625,0.05506497249007225,0.02484130859375,0.15087127685546875,0.9444159865379333,1.0,0.125,0.0
500,1,0.08664455264806747,0.1425323486328125,0.07199252396821976,0.0517425537109375,0.1574249267578125,0.9311727285385132,1.0,0.125,0.0
500,2,0.0003446604241617024,0.146484375,0.08336982131004333,0.0539703369140625,0.1501617431640625,0.9306256175041199,1.0,0.125,0.0
500,3,0.29381754994392395,0.1231689453125,0.06262730807065964,0.0402984619140625,0.14494705200195312,0.9426994323730469,1.0,0.125,0.0
500,4,0.5860080718994141,0.1271209716796875,0.09712213277816772,0.045928955078125,0.13912200927734375,0.9379743337631226,1.0,0.125,0.06666666666666667
500,5,0.10472279787063599,0.159393310546875,0.07773242890834808,0.0682830810546875,0.14337921142578125,0.9135105609893799,1.0,0.125,0.0
500,6,0.0003863438905682415,0.1370697021484375,0.08705928176641464,0.0419921875,0.146240234375,0.9375982284545898,1.0,0.125,0.0
500,7,0.031827379018068314,0.122833251953125,0.05408912152051926,0.03765869140625,0.15575408935546875,0.943840742111206,1.0,0.125,0.0
500,8,0.02441011741757393,0.0813751220703125,0.02661030925810337,0.01690673828125,0.1414642333984375,0.9711965322494507,1.0,0.125,0.06666666666666667
500,9,0.0005714087747037411,0.1251068115234375,0.07134751230478287,0.03082275390625,0.15378952026367188,0.9456586837768555,1.0,0.125,0.0
500,10,0.008772917091846466,0.148712158203125,0.08010788261890411,0.0627288818359375,0.15872955322265625,0.9301337599754333,1.0,0.125,0.0
500,11,0.013975003734230995,0.107269287109375,0.03691964969038963,0.0243682861328125,0.15533447265625,0.9561163783073425,1.0,0.125,0.0
500,12,0.29995691776275635,0.11468505859375,0.05472124367952347,0.0367889404296875,0.14250946044921875,0.9442502856254578,1.0,0.125,0.0
500,13,0.06005622446537018,0.1128997802734375,0.04310058429837227,0.0268402099609375,0.13234710693359375,0.9378896951675415,1.0,0.125,0.0
500,14,0.003657849272713065,0.1248779296875,0.04631776362657547,0.0469818115234375,0.12853240966796875,0.9267594814300537,1.0,0.125,0.0
500,15,0.00483330525457859,0.1226654052734375,0.0392729789018631,0.0391693115234375,0.12625885009765625,0.9240208864212036,1.0,0.125,0.0
500,16,0.06156770884990692,0.1137237548828125,0.06389178335666656,0.03863525390625,0.12453460693359375,0.931714653968811,1.0,0.125,0.0
500,17,0.26758596301078796,0.130889892578125,0.15120641887187958,0.05517578125,0.14199447631835938,0.9281681776046753,1.0,0.125,0.06666666666666667
500,18,0.14868105947971344,0.1439056396484375,0.14084453880786896,0.0499725341796875,0.13198280334472656,0.9158526659011841,1.0,0.125,0.0
500,19,0.19186817109584808,0.13812255859375,0.09030627459287643,0.0406646728515625,0.144744873046875,0.9299784898757935,1.0,0.125,0.0
500,20,0.08622889220714569,0.124298095703125,0.12445835024118423,0.0453948974609375,0.1269702911376953,0.9306323528289795,1.0,0.125,0.06666666666666667
500,21,0.0023368350230157375,0.1245574951171875,0.08225560933351517,0.0401763916015625,0.14646148681640625,0.9408534169197083,1.0,0.125,0.06666666666666667
500,22,0.09844319522380829,0.132843017578125,0.049883753061294556,0.0404815673828125,0.14795684814453125,0.9344733357429504,1.0,0.125,0.0
500,23,2.5985411411966197e-05,0.12322998046875,0.055790238082408905,0.0323028564453125,0.15876007080078125,0.9476398229598999,1.0,0.125,0.0
500,24,0.0023633979726582766,0.129608154296875,0.0716690942645073,0.047149658203125,0.14601898193359375,0.9287887215614319,1.0,0.125,0.0
500,25,0.03764955699443817,0.0961151123046875,0.04353203624486923,0.022186279296875,0.13794708251953125,0.9542214274406433,1.0,0.125,0.13333333333333333
500,26,0.0003460430889390409,0.1137237548828125,0.06100928410887718,0.02984619140625,0.13770294189453125,0.9467211961746216,1.0,0.125,0.0
500,27,0.00039944786112755537,0.153900146484375,0.06520754098892212,0.0500946044921875,0.15735626220703125,0.9252550601959229,1.0,0.125,0.06666666666666667
500,28,0.01904914155602455,0.120697021484375,0.04909904673695564,0.0355072021484375,0.1457672119140625,0.9374644756317139,1.0,0.125,0.0
500,29,0.3471777141094208,0.133636474609375,0.0769272968173027,0.051116943359375,0.13946914672851562,0.9297151565551758,1.0,0.125,0.0
500,30,0.013154484331607819,0.1160736083984375,0.07253683358430862,0.0337677001953125,0.13347625732421875,0.9377197027206421,1.0,0.125,0.13333333333333333
