model,placement,origin_mode,budget_fraction,calib_static,causal_prev_step,oracle_same_step,staleness_cost_oracle_minus_causal,causal_advantage_over_calib_static
llmjp,contiguous,balanced,0.25,-0.0316874750877772,-0.017548332371326927,0.02415543153687466,0.04170376390820159,0.014139142716450274
llmjp,contiguous,balanced,0.5,-0.06640174541868549,-0.025713981242578923,0.024060672009163783,0.049774653251742705,0.04068776417610656
llmjp,contiguous,balanced,0.75,-0.04531036547334146,-0.022204764141117956,0.027771365724468585,0.04997612986558654,0.023105601332223506
llmjp,contiguous,hotspot,0.25,0.05792054936215776,0.056554597836587193,0.059205571721591264,0.002650973885004071,-0.0013659515255705634
llmjp,contiguous,hotspot,0.5,0.10890516322917305,0.10730650549940667,0.11051058743149672,0.0032040819320900554,-0.0015986577297663895
llmjp,contiguous,hotspot,0.75,0.05922322347746518,0.05888178092551044,0.060478301780759504,0.0015965208552490631,-0.0003414425519547362
llmjp,round_robin,balanced,0.25,-0.03755376470566373,-0.01590290799234922,0.02465147112744177,0.04055437911979099,0.02165085671331451
llmjp,round_robin,balanced,0.5,-0.07605302343502052,-0.027626937988296612,0.02316163023085312,0.05078856821914973,0.0484260854467239
llmjp,round_robin,balanced,0.75,-0.0545444198710501,-0.022896215711786235,0.02786491400555242,0.050761129717338656,0.031648204159263865
llmjp,round_robin,hotspot,0.25,0.05884121656795278,0.057571166781734816,0.05969437681549231,0.002123210033757497,-0.001270049786217961
llmjp,round_robin,hotspot,0.5,0.11049481052392714,0.10937938837598014,0.11148040583913839,0.0021010174631582446,-0.0011154221479469928
llmjp,round_robin,hotspot,0.75,0.060169817453199693,0.060022866362467696,0.060921241989867314,0.0008983756273996182,-0.00014695109073199764
olmoe,contiguous,balanced,0.25,-0.0165896437004479,-0.015005293609741155,0.0528984033074433,0.06790369691718445,0.0015843500907067442
olmoe,contiguous,balanced,0.5,-0.04765926171565895,-0.018552670806482454,0.06098442219375671,0.07953709300023916,0.029106590909176496
olmoe,contiguous,balanced,0.75,-0.022332822592343666,-0.011038156099606655,0.04826030956195293,0.059298465661559586,0.011294666492737011
olmoe,contiguous,hotspot,0.25,0.0569809671060529,0.05559694806716287,0.057843184211342547,0.002246236144179674,-0.0013840190388900303
olmoe,contiguous,hotspot,0.5,0.1068860871143008,0.1053779744455627,0.10792586428873317,0.0025478898431704755,-0.0015081126687380986
olmoe,contiguous,hotspot,0.75,0.05942258891482496,0.05877070319616775,0.0599383508775713,0.0011676476814035525,-0.000651885718657208
olmoe,round_robin,balanced,0.25,-0.031309620480674955,-0.01712756431133253,0.04453410556770162,0.06166166987903415,0.014182056169342424
olmoe,round_robin,balanced,0.5,-0.06746343754140231,-0.021869900838557308,0.05506590965591809,0.0769358104944754,0.04559353670284501
olmoe,round_robin,balanced,0.75,-0.041966210444811185,-0.01350514907435644,0.04614092995063601,0.05964607902499245,0.028461061370454746
olmoe,round_robin,hotspot,0.25,0.0581895464287559,0.05681751754712191,0.059548454275540806,0.002730936728418898,-0.0013720288816339923
olmoe,round_robin,hotspot,0.5,0.10817111576029274,0.10660116363461151,0.10948849434400448,0.0028873307093929684,-0.0015699521256812288
olmoe,round_robin,hotspot,0.75,0.05939282776962065,0.058854392719852267,0.06029673320510465,0.0014423404852523802,-0.0005384350497683807
