model,placement,origin_mode,budget_fraction,info_mode,hot_minus_random_mean,hot_minus_random_std,frac_seeds_hot_beats_random_ci,hot_job_p99_us_mean,random_job_p99_us_median_mean,n_seeds
llmjp,contiguous,balanced,0.25,calib_static,-0.0316874750877772,0.011786299876718769,1.0,1418.5056853333335,1367.5289173333333,24
llmjp,contiguous,balanced,0.25,causal_prev_step,-0.017548332371326927,0.013218606987642382,1.0,1404.928810666667,1367.5289173333333,24
llmjp,contiguous,balanced,0.25,oracle_same_step,0.02415543153687466,0.015207527745770832,0.9583333333333334,1344.5404373333333,1367.5289173333333,24
llmjp,contiguous,balanced,0.5,calib_static,-0.06640174541868549,0.019076540972628325,1.0,1393.1353813333335,1280.91856,24
llmjp,contiguous,balanced,0.5,causal_prev_step,-0.025713981242578923,0.01574617320705028,0.9583333333333334,1339.075968,1280.91856,24
llmjp,contiguous,balanced,0.5,oracle_same_step,0.024060672009163783,0.014443852332860193,1.0,1267.4131413333334,1280.91856,24
llmjp,contiguous,balanced,0.75,calib_static,-0.04531036547334146,0.014952195257745849,1.0,1271.9539626666667,1194.5085226666667,24
llmjp,contiguous,balanced,0.75,causal_prev_step,-0.022204764141117956,0.009366600278664825,1.0,1244.7522133333334,1194.5085226666667,24
llmjp,contiguous,balanced,0.75,oracle_same_step,0.027771365724468585,0.007692563743580445,1.0,1162.0178560000002,1194.5085226666667,24
llmjp,contiguous,hotspot,0.25,calib_static,0.05792054936215776,0.004297150303322543,1.0,4143.625344000001,4423.343317333333,24
llmjp,contiguous,hotspot,0.25,causal_prev_step,0.056554597836587193,0.004903372720030909,1.0,4144.415082666667,4423.343317333333,24
llmjp,contiguous,hotspot,0.25,oracle_same_step,0.059205571721591264,0.003235064383814076,1.0,4143.625344000001,4423.343317333333,24
llmjp,contiguous,hotspot,0.5,calib_static,0.10890516322917305,0.006874238148750425,1.0,3593.5512320000003,4130.265834666668,24
llmjp,contiguous,hotspot,0.5,causal_prev_step,0.10730650549940667,0.007570243708525195,1.0,3594.565909333334,4130.265834666668,24
llmjp,contiguous,hotspot,0.5,oracle_same_step,0.11051058743149672,0.005782591144639802,1.0,3593.5512320000003,4130.265834666668,24
llmjp,contiguous,hotspot,0.75,calib_static,0.05922322347746518,0.0020000978100530487,1.0,3545.7229226666673,3837.2613120000005,24
llmjp,contiguous,hotspot,0.75,causal_prev_step,0.05888178092551044,0.0021014032664434137,1.0,3546.031402666667,3837.2613120000005,24
llmjp,contiguous,hotspot,0.75,oracle_same_step,0.060478301780759504,0.0011079416964210065,1.0,3545.7229226666673,3837.2613120000005,24
llmjp,round_robin,balanced,0.25,calib_static,-0.03755376470566373,0.01290710908536498,1.0,1437.2371840000003,1370.107072,24
llmjp,round_robin,balanced,0.25,causal_prev_step,-0.01590290799234922,0.012182315189190203,0.9583333333333334,1406.4761600000002,1370.107072,24
llmjp,round_robin,balanced,0.25,oracle_same_step,0.02465147112744177,0.014811909875937722,1.0,1345.7778773333334,1370.107072,24
llmjp,round_robin,balanced,0.5,calib_static,-0.07605302343502052,0.021396392446506707,1.0,1419.4192853333334,1284.6458880000002,24
llmjp,round_robin,balanced,0.5,causal_prev_step,-0.027626937988296612,0.013434289252567356,0.9583333333333334,1346.9201706666668,1284.6458880000002,24
llmjp,round_robin,balanced,0.5,oracle_same_step,0.02316163023085312,0.013712209694738312,1.0,1266.8301013333335,1284.6458880000002,24
llmjp,round_robin,balanced,0.75,calib_static,-0.0545444198710501,0.017265417003611123,1.0,1299.2530346666667,1199.4867626666667,24
llmjp,round_robin,balanced,0.75,causal_prev_step,-0.022896215711786235,0.009434363007095744,1.0,1246.61056,1199.4867626666667,24
llmjp,round_robin,balanced,0.75,oracle_same_step,0.02786491400555242,0.006632646573687596,1.0,1161.2283306666668,1199.4867626666667,24
llmjp,round_robin,hotspot,0.25,calib_static,0.05884121656795278,0.00416558318525514,1.0,4058.2375893333337,4336.363626666667,24
llmjp,round_robin,hotspot,0.25,causal_prev_step,0.057571166781734816,0.004960082274029442,1.0,4059.7791360000006,4336.363626666667,24
llmjp,round_robin,hotspot,0.25,oracle_same_step,0.05969437681549231,0.003482329228759869,1.0,4058.2375893333337,4336.363626666667,24
llmjp,round_robin,hotspot,0.5,calib_static,0.11049481052392714,0.006813003604546239,1.0,3509.6080853333337,4043.7585493333336,24
llmjp,round_robin,hotspot,0.5,causal_prev_step,0.10937938837598014,0.007416612157698831,1.0,3511.4197120000003,4043.7585493333336,24
llmjp,round_robin,hotspot,0.5,oracle_same_step,0.11148040583913839,0.006328171122237837,1.0,3509.6080853333337,4043.7585493333336,24
llmjp,round_robin,hotspot,0.75,calib_static,0.060169817453199693,0.0019138230491492787,1.0,3459.967189333334,3751.029450666667,24
llmjp,round_robin,hotspot,0.75,causal_prev_step,0.060022866362467696,0.0021295864048653584,1.0,3460.637909333334,3751.029450666667,24
llmjp,round_robin,hotspot,0.75,oracle_same_step,0.060921241989867314,0.0015100035104421731,1.0,3459.967189333334,3751.029450666667,24
olmoe,contiguous,balanced,0.25,calib_static,-0.0165896437004479,0.014233539715081463,1.0,2972.234922666667,2923.2144213333336,24
olmoe,contiguous,balanced,0.25,causal_prev_step,-0.015005293609741155,0.01765912712451399,0.9583333333333334,2996.020906666667,2923.2144213333336,24
