strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse
full,2,128,8,0.0,6.48355770111084,0.0,0.0
uniform_fp8,2,128,8,0.5,6.461777210235596,0.4789044260978699,0.0003549013550470634
uniform_int4,2,128,8,0.75,8.768506050109863,46.563045501708984,0.08843172987001272
mix_r12bf16_r34fp8_r58int4,2,128,8,0.5,6.65033483505249,2.073874354362488,0.009073680326517527
mix_r1bf16_r26fp8_r78int4,2,128,8,0.5,6.496335983276367,0.9529153108596802,0.003061181170712813
mix_r12bf16_r36fp8_r78drop,2,128,8,0.5,6.776294946670532,8.578344583511353,0.018604225860996033
mix_r12bf16_r38int4,2,128,8,0.5625,6.754823207855225,5.818082571029663,0.02615176045169937
mix_r1bf16_r24fp8_r58int4,2,128,8,0.5625,6.529956340789795,2.2874515056610107,0.009078486873433178
mix_r1bf16_r28int4,2,128,8,0.65625,6.912342309951782,9.523418426513672,0.04085192046256159
