strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,2,128,8,0.0,6.48355770111084,0.0,0.0,0.0
uniform_fp8,2,128,8,0.5,6.461777210235596,0.4789044260978699,0.0003549013550470634,-0.02178049087524414
uniform_int4,2,128,8,0.75,8.768506050109863,46.563045501708984,0.08843172987001272,2.2849483489990234
mix_r12bf16_r34fp8_r58int4,2,128,8,0.5,6.65033483505249,2.073874354362488,0.009073680326517527,0.1667771339416504
mix_r1bf16_r26fp8_r78int4,2,128,8,0.5,6.496335983276367,0.9529153108596802,0.003061181170712813,0.012778282165527344
mix_r12bf16_r36fp8_r78drop,2,128,8,0.5,6.776294946670532,8.578344583511353,0.018604225860996033,0.2927372455596924
mix_r12bf16_r38int4,2,128,8,0.5625,6.754823207855225,5.818082571029663,0.02615176045169937,0.27126550674438477
mix_r1bf16_r24fp8_r58int4,2,128,8,0.5625,6.529956340789795,2.2874515056610107,0.009078486873433178,0.04639863967895508
mix_r1bf16_r28int4,2,128,8,0.65625,6.912342309951782,9.523418426513672,0.04085192046256159,0.4287846088409424
