batch_size,n_decode_steps,spearman_latency_vs_route_max_to_mean_mean,pvalue_max_to_mean_descriptive_only,spearman_latency_vs_route_load_cv_mean,pvalue_load_cv_descriptive_only,route_max_to_mean_max_median,route_max_to_mean_mean,route_load_cv_mean,evidence_boundary
1,16,,,,,2,2,1,single-GPU route imbalance correlation; not receiver congestion
4,16,0.0840168050417,0.75705272432,-0.973529411765,2.27689765567e-10,2,1.998046875,0.632360029384,single-GPU route imbalance correlation; not receiver congestion
8,16,-0.712433685209,0.00195590476263,-0.767647058824,0.000516883524296,2,1.9453125,0.552317221765,single-GPU route imbalance correlation; not receiver congestion
16,16,-0.51480191181,0.0413013960443,-0.458823529412,0.0738355344955,2,1.90087890625,0.489877335203,single-GPU route imbalance correlation; not receiver congestion
32,16,0.0739108192013,0.785596707922,-0.558823529412,0.0244365114245,2,1.8681640625,0.469729930046,single-GPU route imbalance correlation; not receiver congestion
