block,rows,bf16_linear_us,dynamic_fp8_linear_us,prequant_fp8_mm_us,quant_only_us
0,16,45.024000108242035,114.94400352239609,31.42400085926056,71.32799923419952
0,2048,72.35199958086014,114.49600011110306,43.64800080657005,77.47200131416321
0,1024,52.639998495578766,103.67999970912933,32.99200162291527,70.97599655389786
0,4096,116.7680025100708,143.8080072402954,64.2239972949028,107.04000294208527
0,2,31.520001590251923,89.34400230646133,25.407999753952026,67.00800359249115
0,8,25.98400041460991,93.56799721717834,25.95200017094612,64.60800021886826
0,32,29.85600009560585,106.23999685049057,26.815999299287796,67.07199662923813
0,4,27.488000690937042,86.94399893283844,24.831999093294144,68.15999746322632
0,512,42.208001017570496,87.45600283145905,24.032000452280045,72.54400104284286
0,64,26.72000043094158,92.3520028591156,27.2000003606081,68.83200258016586
0,1,28.384000062942505,86.87999844551086,25.439999997615814,65.5359998345375
0,256,29.823999851942062,91.93599969148636,23.16799946129322,67.48799979686737
0,128,26.1439997702837,91.5519967675209,24.992000311613083,69.92000341415405
1,8,24.831999093294144,90.20800143480301,26.815999299287796,63.391998410224915
1,16,24.4159996509552,85.63199639320374,25.439999997615814,66.01600348949432
1,128,25.631999596953392,93.18400174379349,26.75200067460537,69.63200122117996
1,2,24.032000452280045,86.04799956083298,26.11199952661991,66.20799750089645
1,64,27.51999907195568,91.45600348711014,25.119999423623085,66.81600213050842
1,4096,115.61600118875504,147.67999947071075,64.31999802589417,105.12000322341919
1,2048,66.3359984755516,104.96000200510025,41.79200157523155,71.48800045251846
1,4,25.34399926662445,100.44799745082855,27.96800062060356,64.70400094985962
1,32,27.83999964594841,90.62399715185165,26.399999856948853,64.64000046253204
1,512,39.39199820160866,94.36800330877304,23.903999477624893,68.92800331115723
1,1024,50.08000135421753,94.36800330877304,32.00000151991844,69.98399645090103
1,1,24.512000381946564,87.64799684286118,25.95200017094612,67.19999760389328
1,256,29.503999277949333,89.85599875450134,23.93599972128868,71.00799679756165
2,128,28.224000707268715,93.44000369310379,27.775999158620834,71.26399874687195
